Arctostaphylos uva-ursi,GU176649.1,
Arenaria serpyllifolia,KM360648.1,
Arethusa bulbosa,AF074109.1,
Argemone albiflora,JX087687.1,
Argemone mexicana,U86621.1,
Argentina anserina,JX848521.1,
Arisaema dracontium,KC466585.1,
Arisaema triphyllum,AY298817.1,
Aristida basiramea,,
Aristida dichotoma,,
Aristida intermedia,,
Aristida longespica,HQ713378.1,
Aristida oligantha,HE573350.1,
Aristida purpurascens,HQ713380.1,
Aristida tuberculosa,,
Armoracia rusticana,KM360651.1,
Arnoglossum atriplicifolium,GU817738.1,
Arnoglossum plantagineum,,
Arnoglossum reniforme,,
Aronia prunifolia,JQ391241.1,
Arrhenatherum elatius,AJ784823.1,
Artemisia abrotanum,,
Artemisia absinthium,HE963336.1,
Artemisia annua,KJ667633.1,
Artemisia biennis,,
Artemisia carruthii,,
Artemisia caudata,,
Artemisia dracunculus,,
Artemisia frigida,JX848404.1,
Artemisia ludoviciana,JX848405.1,
Artemisia serrata,,
Artemisia vulgaris,KM360653.1,
Aruncus dioicus,U06794.1,
Asarum canadense,L14290.1,
Asclepias amplexicaulis,KJ773284.1,
Asclepias exaltata,L14390.1,
Asclepias incarnata,DQ006053.1,
Asclepias lanuginosa,,
Asclepias longifolia,,
Asclepias meadii,,
Asclepias ovalifolia,,
Asclepias perennis,KJ773289.1,
Asclepias purpurascens,,
Asclepias speciosa,,
Asclepias sullivantii,,
Asclepias syriaca,HQ384906.1,
Asclepias tuberosa,GQ248553.1,
Asclepias verticillata,KJ773290.1,
Asclepias viridiflora,,
Asimina triloba,AY743441.1,
Asparagus officinalis,HQ182417.1,
Asperugo procumbens,JQ933228.1,
Asplenium platyneuron,AF525272.1,
Asplenium rhizophyllum,KF186530.1,
Astragalus agrestis,JX848457.1,
Astragalus canadensis,,
Astragalus cicer,KJ746227.1,
Astragalus crassicarpus,,
Astragalus distortus,,
Astragalus neglectus,,
Astragalus tennesseensis,,
Athyrium filix-femina,U05908.1,
Atriplex argentea,,
Atriplex glabriuscula,JN965283.1,
Atriplex hortensis,FR775290.1,
Atriplex patula,X15925.1,
Atriplex rosea,X55831.1,
Aureolaria flava,KJ773297.1,
Aureolaria grandiflora,,
Aureolaria pedicularia,AY563940.1,
Aureolaria virginica,,
Avena fatua,AJ746257.1,
Avena sativa,L15300.1,
Azolla cristata,,
Bacopa rotundifolia,,
Ballota nigra,KM360663.1,
Baptisia alba,KJ773304.1,
Baptisia australis,KF613006.1,
Baptisia bracteata,,
Baptisia tinctoria,Z70120.1,
Barbarea verna,HM849808.1,
Barbarea vulgaris,HQ589972.1,
Bartonia virginica,KF496033.1,
Beckmannia syzigachne,EF125142.1,
Belamcanda chinensis,AJ309694.1,
Bellis perennis,KM360665.1,
Berberis canadensis,,
Berberis thunbergii,AF139878.1,
Berberis vulgaris,KF997386.1,
Berteroa incana,KM360667.1,
Berula erecta,KM360668.1,
Besseya bullii,,
Betula alleghaniensis,KF418936.1,
Betula nigra,L01889.2,
Betula papyrifera,X56617.1,
Betula pendula,KM360670.1,
Betula populifolia,KF418944.1,
Betula pumila,KC482105.1,
Bidens aristosa,,
Bidens beckii,,
Bidens bipinnata,KJ773309.1,
Bidens cernua,HQ589973.1,
Bidens discoidea,,
Bidens frondosa,HQ589974.1,
Bidens trichosperma,,
Bidens tripartita,KM360671.1,
Bidens vulgata,,
Blephilia ciliata,,
Blephilia hirsuta,,
Boechera canadensis,,
Boechera grahamii,KJ841137.1,
Boechera laevigata,DQ006074.1,
Boechera missouriensis,,
Boechera shortii,,
Boechera stricta,,
Boehmeria cylindrica,KJ773314.1,
Boltonia asteroides,,
Borago offlcinalis,,
Bothriochloa laguroides,,
Botrychium campestre,,
Botrychium dissectum,AY138401.1,
Botrychium matricariifolium,L40967.1,
Botrychium multifldum,,
Botrychium simplex,,
Botrychium virginianum,AY138407.1,
Bouteloua curtipendula,JN681654.1,
Bouteloua gracilis,JX848489.1,
Bouteloua hirsuta,,
Brachyelytrum erectum,KJ841140.1,
Brasenia schreberi,M77031.1,
Brassica juncea,AY167979.1,
Brassica napus,JF807908.1,
Brassica nigra,HM849822.1,
Brassica rapa,AY167977.1,
Brickellia eupatorioides,KJ773319.1,
Bromus arvensis,,
Bromus brizaeformis,,
Bromus carinatus,KM360707.1,
Bromus ciliatus,JX848490.1,
Bromus commutatus,AJ746287.1,
Bromus hordeaceus,KM360679.1,
Bromus inermis,JX848491.1,
Bromus kalmii,,
Bromus latiglumis,,
Bromus marginatus,,
Bromus pubescens,,
Bromus racemosus,JN892639.1,
Bromus secalinus,JN892641.1,
Bromus squarrosus,,
Bromus sterilis,KM360634.1,
Bromus tectorum,KF712974.1,
Brunnera macrophylla,,
Buchloe dactyloides,FR821337.1,
Buchnera americana,KJ773321.1,
Buglossoides arvense,HM849830.1,
Bulbostylis capillaris,,
Butomus umbellatus,KM360683.1,
Cakile edentula,HM849832.1,
Calamagrostis canadensis,KC482155.1,
Calamagrostis stricta,KC482182.1,
Calamovilfa longifolia,JX848493.1,
Calibrachoa parviflora,,
Calla palustris,AM905819.1,
Callirhoe alcaeoides,,
Callirhoe digitata,,
Callirhoe involucrata,,
Callirhoe triangulata,,
Callitriche heterophylla,L11681.1,
Callitriche palustris,,
Calopogon oklahomensis,,
Calopogon tuberosus,AF074119.1,
Caltha palustris,KM360689.1,
Calylophus serrulatus,,
Calyptocarpus vialis,AY215090.1,
Calystegia hederacea,KJ395590.1,
Calystegia sepium,AY100992.1,
Calystegia spithamaea,,
Camassia scilloides,JQ273890.1,
Camelina microcarpa,JN847825.1,
Camelina sativa,,
Campanula aparinoides,EU643728.1,
Campanula rapunculoides,FJ587271.1,
Campanula rotundifolia,EU713443.1,
Campanulastrum americanum,EU713419.1,
Campsis radicans,AF156737.1,
Cannabis sativa,AF500344.1,
Capsella bursa-pastoris,KM360691.1,
Cardamine bulbosa,,
Cardamine concatenata,DQ006075.1,
Cardamine diphylla,HQ589983.1,
Cardamine douglassii,,
Cardamine hirsuta,HM849847.1,
Cardamine impatiens,JN847832.1,
Cardamine parviflora,,
Cardamine pensylvanica,AF020324.1,
Cardamine pratensis,KM360692.1,
Cardaria pubescens,,
Carduus acanthoides,,
Carduus nutans,KM360693.1,
Carex abdita,,
Carex acutiformis,JN892448.1,
Carex aggregata,HQ589984.1,
Carex alata,KJ773337.1,
Carex albicans,,
Carex albolutescens,,
Carex albursina,HQ589985.1,
Carex alopecoidea,,
Carex amphibola,DQ006088.1,
Carex annectens,,
Carex aquatilis,KC482236.1,
Carex arctata,HQ589986.1,
Carex argyrantha,,
Carex atherodes,,
Carex atlantica,,
Carex aurea,HQ589987.1,
Carex bebbii,,
Carex bicknellii,,
Carex blanda,HQ589988.1,
Carex brevior,KJ841157.1,
Carex bromoides,KJ773339.1,
Carex brunnescens,KF977470.1,
Carex bushii,,
Carex buxbaumii,,
Carex canescens,GQ469845.1,
Carex careyana,,
Carex cephaloidea,KJ841161.1,
