taxon,rbcL,matK,ITS,trnL-trnF,
Spiranthes ochroleuca,,KM213846.1,KM262328.1,,
Spiranthes ovalis,,KM262264.1,KM262348.1,,
Spiranthes romanzoffiana,FJ571354.1,KM262460.1,AF301441.1,AY363055.1,
Spiranthes tuberosa,,KM262469.1,KM262387.1,,
Spirodela polyrhiza,KM360996.1,KF726299.1,KJ400913.1,AM933296.1,
Sporobolus clandestinus,HQ713391.1,HQ713376.1,KM010390.1,,
Sporobolus cryptandrus,HQ590286.1,HF558529.1,GU359208.1,,
Sporobolus heterolepis,KJ740997.1,AF164429.1,KM010426.1,,
Sporobolus neglectus,,,KM010452.1,,
Sporobolus vaginiflorus,KJ841600.1,HM352809.1,KM010515.1,,
Stachys aspera,,,,KF235710.1,
Stachys hyssopifolia,,,,,
Stachys pilosa,JX848474.1,HQ911559.1,KF529628.1,KF235707.1,
Stachys tenuifolia,,,KF529645.1,KF529952.1,
Staphylea trifolia,AY646111.1,HQ680699.1,,,
Stellaria crassifolia,KC484148.1,JN589163.1,JN589071.1,JN589701.1,
Stellaria longifolia,JX848448.1,JN589213.1,JN589146.1,JN589649.1,
Stellaria pubera,,FJ404878.1,JN589127.1,FJ405027.1,
Stenanthium gramineum,KM242958.1,,AF303729.1,AF303692.1,
Streptopus lanceolatus,D17381.1,HQ593459.1,,KF977459.1,
Strophostyles helvola,,DQ443469.1,AY508760.1,EU717345.1,
Strophostyles leiosperma,,AY509946.1,AY508796.1,,
Stuckenia pectinata,AB196953.1,JN894668.1,EF526376.1,DQ786420.1,
Stylophorum diphyllum,U86633.1,JX087859.1,JX079036.1,AY328252.1,
Styrax americanus,L12623.2,KJ773191.1,AF327473.1,,
Sullivantia sullivantii,,L20130.1,,,
Symphoricarpos albus,L11682.1,AY310459.1,GQ268130.1,GQ305401.1,
Symphoricarpos occidentalis,JX848445.1,GQ284952.1,EU240668.1,GQ305411.1,
Symphyotrichum boreale,JN966028.1,JN966701.1,EU781456.1,,
Symphyotrichum ciliolatum,EU677039.1,EU749429.1,,,
Symphyotrichum cordifolium,DQ673291.1,HQ593460.1,DQ005972.1,,
Symphyotrichum drummondii,,,EU781141.1,,
Symphyotrichum dumosum,KJ773939.1,,JQ360400.1,,
Symphyotrichum ericoides,JX848428.1,EU749432.1,JQ360392.1,,
Symphyotrichum falcatum,JX848429.1,,EF017389.1,,
Symphyotrichum laeve,JX848430.1,,,,
Symphyotrichum lanceolatum,EU677043.1,EU749433.1,,,
Symphyotrichum lateriflorum,EU677047.1,EU749437.1,JQ360401.1,,
Symphyotrichum novae-angliae,GU817740.1,AF151441.1,GU818492.1,GU817970.1,
Symphyotrichum oblongifolium,,,JQ360425.1,,
Symphyotrichum ontarionis,KJ593707.1,KJ593121.1,,,
Symphyotrichum oolentangiense,,,,,
Symphyotrichum parviceps,,,EU781417.1,,
Symphyotrichum pilosum,EU677053.1,EU749444.1,JQ360419.1,,
Symphyotrichum praealtum,,,JQ360407.1,,
Symphyotrichum prenanthoides,,,,,
Symphyotrichum puniceum,HQ590290.1,HQ593461.1,JQ360395.1,,
Symphyotrichum racemosum,,,EU853715.1,,
Symphyotrichum sericeum,,,EU200232.1,,
Symphyotrichum shortii,,,EU781414.1,,
Symphyotrichum urophyllum,EU677055.1,KJ593125.1,EU781139.1,,
Symplocarpus foetidus,L10247.2,AM920551.1,FJ874946.1,AY054741.1,
Taenidia integerrima,,U58583.1,KF619736.1,,
Taxus canadensis,EF660724.1,EF660661.1,EF660601.1,EF660636.1,
Tephrosia virginiana,KJ773946.1,KJ773199.1,,,
Tetraneuris herbacea,,,,,
Teucrium canadense,DQ006101.1,KJ773201.1,EF508063.1,,
Thalictrum dasycarpum,JX258350.1,KJ593127.1,JX233682.1,JX573451.1,
Thalictrum dioicum,JX258354.1,HQ593464.1,JX233686.1,JX573455.1,
Thalictrum revolutum,JX258393.1,,JX233727.1,JX573491.1,
Thalictrum thalictroides,EU053924.1,,JX233748.1,JX573511.1,
Thaspium barbinode,,,AF358526.1,,
Thaspium trifoliatum,KJ773948.1,,U78470.1,,
Thelypteris noveboracensis,KF186531.1,,,,
Thelypteris palustris,U05947.1,JF832292.1,,HQ676538.1,
Thismia americana,,,,,
Thuja occidentalis,JQ512620.1,HM024070.1,EU183435.1,EU183469.1,
Tiarella cordifolia,AM183435.1,HQ593467.1,,,
Tilia americana,AF022127.1,AY321191.1,KF694729.1,,
Tipularia discolor,AF074234.1,AF263685.1,KM598422.1,,
Tomanthera auriculata,AY563938.1,AY563917.1,EU827821.1,EU828140.1,
Torreyochloa pallida,KJ841624.1,DQ786944.1,FJ377672.1,FJ394584.1,
Toxicodendron radicans,U39271.2,AY594491.1,AY677203.1,AY677207.1,
Toxicodendron rydbergii,KF664563.1,,FJ945954.1,FJ946004.1,
Toxicodendron vernix,,AY594495.1,AY641520.1,AY594581.1,
Tradescantia ohiensis,HQ182454.1,HQ180889.1,,KC512074.1,
Tradescantia subaspera,,,,KC512075.1,
Tradescantia virginiana,KF724348.1,,,KC512073.1,
Triantha glutinosa,DQ182340.1,AB541048.1,,AY145337.1,
Trichophorum caespitosum,AB369974.1,KJ513657.1,DQ998951.1,DQ999004.1,
Trichophorum clintonii,Y12982.1,KJ513658.1,,,
Trichostema dichotomum,U28887.1,AF336235.1,EF508066.1,,
Trientalis borealis,HQ590306.1,HQ593472.1,AY855156.1,AY855131.1,
Trifolium reflexum,,,DQ312143.1,,
Triglochin maritima,KM361021.1,AB088782.1,KP174260.1,DQ786415.1,
Triglochin palustris,GQ452334.1,GQ452340.1,KP174267.1,,
Trillium cernuum,KF613056.1,HG475425.1,DQ404193.1,DQ404261.1,
Trillium erectum,AB018838.1,KM242806.1,DQ404196.1,AF303667.1,
Trillium flexipes,KM242969.1,KM242807.1,,HG475392.1,
Trillium grandiflorum,D28164.1,KM242809.1,DQ404195.1,AF303666.1,
Trillium nivale,,,,,
Trillium recurvatum,AB018843.1,KM242815.1,KC170894.1,HG475390.1,
Trillium sessile,AB018847.1,KM242817.1,DQ006019.1,HG475379.1,
Trillium undulatum,AB018848.1,HG475407.1,,HG475383.1,
Triodanis perfoliata,EU713363.1,EU713256.1,,,
Triosteum aurantiacum,GU168609.1,GU168655.1,AF265290.1,GU168715.1,
Triosteum illinoense,,,,,
Triosteum perfoliatum,AF446935.1,AF446905.1,AY236175.1,GU168717.1,
Triphora trianthophora,AF074236.1,AY368433.1,KM598428.1,KM669160.1,
Triplasis purpurea,KJ773960.1,JF729155.1,GU359184.1,,
Tsuga canadensis,JQ512626.1,AF143438.1,EF395468.1,KF977460.1,
Turritis glabra,DQ310542.1,AF144333.1,DQ310526.1,DQ310517.1,
Typha latifolia,DQ069503.1,AB088801.1,KF265390.1,JF319484.1,
Ulmus americana,AF500337.1,KC539607.1,KC539574.1,AF501593.1,
Ulmus rubra,KC539680.1,KC539611.1,KC539578.1,KC539714.1,
Ulmus thomasii,,,,,
Urtica dioica,AF500361.1,GU266610.1,KF558920.1,KF971226.1,
Utricularia cornuta,,,,AF482638.1,
Utricularia geminiscapa,EF529724.1,,EF526399.1,AF482647.1,
Utricularia gibba,L13190.2,,,AF482648.1,
Utricularia intermedia,JN890779.1,AF531839.1,DQ225109.1,AF482651.1,
Utricularia macrorhiza,,AF531835.1,,AF482657.1,
Utricularia minor,KC584902.1,KC584950.1,,GU169706.1,
Utricularia purpurea,,AF531845.1,,,
Utricularia radiata,,,,,
Utricularia resupinata,,,,AF488533.1,
Utricularia subulata,,AF531821.1,,AF482676.1,
Uvularia grandiflora,AB009950.1,KC796931.1,KC899595.1,AJ551377.1,
Uvularia sessilifolia,AB009948.1,AB858267.1,,AJ551378.1,
Vaccinium angustifolium,KJ593742.1,KJ593144.1,,,
Vaccinium corymbosum,KJ773964.1,AF419706.1,AF419778.1,,
Vaccinium macrocarpon,L12625.2,U61316.2,AF382730.1,,
Vaccinium myrtilloides,KJ593745.1,KM212107.1,,,
Vaccinium oxycoccos,JN893514.1,JN895357.1,,,
Vaccinium pallidum,,,AF273710.1,AF271698.1,
Valeriana edulis,AY362485.1,AY362527.1,KF482901.1,AY360127.1,
Valeriana uliginosa,,,,,
Valerianella chenopodifolia,,,,,
Valerianella umbilicata,,DQ354194.1,DQ354174.1,DQ354207.1,
Vallisneria americana,U03726.1,AY870366.1,EF526407.1,,
Veratrum virginicum,KM242935.1,KM242777.1,AF303709.1,AF303679.1,
Verbena bracteata,HQ384875.1,HQ384506.1,FJ867408.1,EF571526.1,
Verbena hastata,HQ590318.1,HQ593485.1,FJ867415.1,EF571531.1,
Verbena simplex,,,,,
Verbena stricta,HQ590319.1,HQ593486.1,EU791336.1,,
Verbena urticifolia,DQ006128.1,HQ593487.1,FJ867416.1,EF571524.1,
Verbena x,,,,,
Verbesina alternifolia,,,,,
Vernonia fasciculata,,,EF155816.1,EF155904.1,
Vernonia gigantea,GU817787.1,KJ773224.1,EF155818.1,GU818102.1,
Vernonia missurica,,,KC603926.1,EF155912.1,
Veronica americana,HQ590321.1,KJ841038.1,,,
Veronica anagallis-aquatica,AY034021.1,JN894700.1,KJ630576.1,KJ630672.1,
Veronica peregrina,HM850451.1,HM851038.1,AF313016.1,AF486402.1,
Veronica scutellata,KJ841653.1,JN894218.1,AF509805.1,AF486393.1,
Veronicastrum virginicum,,AY492168.1,AF313030.1,AF486412.1,
Viburnum acerifolium,L01959.1,AF446897.1,AY265114.1,,
Viburnum lentago,HQ591739.1,AY265182.1,AY265136.1,,
Viburnum nudum,HQ591749.1,AY265186.1,AY265140.1,,
Viburnum opulus,HQ591775.1,AY265199.1,AY265148.1,AF366928.1,
Viburnum prunifolium,HQ591756.1,AY265190.1,DQ005993.1,,
Viburnum raflnesquianum,,,,,
Vicia americana,JX848469.1,JX505835.1,HM470633.1,JX505714.1,
Vicia caroliniana,,JX505847.1,JX506195.1,JX505721.1,
Viola affinis,,,AF097251.1,,
Viola blanda,KC699613.1,HQ593499.1,AF097238.1,JF767191.1,
Viola canadensis,KC699614.1,HQ593500.1,AF097232.1,JF767163.1,
Viola cucullata,HQ590335.1,HQ593502.1,AF097252.1,,
Viola flmbriatula,,,,,
Viola labradorica,HQ590334.1,HQ593501.1,KF977431.1,KF977461.1,
Viola lanceolata,KJ773980.1,KJ773229.1,,JF767189.1,
Viola macloskeyi,HQ590336.1,HQ593503.1,AF097236.1,JF767198.1,
Viola missouriensis,,,,,
Viola nephrophylla,,,,,
Viola palmata,KJ773981.1,KJ773230.1,,,
Viola pedata,,,AF097253.1,JF767204.1,
Viola pedatifida,JX848539.1,,,,
Viola primulifolia,KJ773982.1,KJ773231.1,,JF767196.1,
Viola pubescens,JX664075.1,JX661966.1,DQ006044.1,JF767162.1,
Viola rostrata,HQ590338.1,HQ593505.1,,,
Viola sagittata,,,,JF767206.1,
Viola septentrionalis,,,,,
Viola sororia,HQ590339.1,HQ593506.1,,,
Viola striata,,,AF097247.1,JF767173.1,
Viola subsinuata,,,,,
Vitis aestivalis,L01960.2,AF274635.1,,AB235073.1,
Vitis labrusca,JX507360.1,HE967511.1,,KF591443.1,
Vitis riparia,HE651120.1,AF542593.2,AY037918.1,JX144510.1,
Vitis vulpina,KJ773985.1,KJ773236.1,,JQ182566.1,
Vulpia octoflora,KJ773986.1,KJ773237.1,KF917279.1,EF593016.1,
Wolffia brasiliensis,AY034248.1,AY034210.1,KJ400943.1,,
Wolffia columbiana,AY034255.1,AY034217.1,KJ400946.1,AM933299.1,
Wolffiella gladiata,AY034243.1,AY034205.1,,AY290851.1,
Woodsia obtusa,U05949.1,,,,
Woodwardia areolata,AF425102.1,JF832296.1,,,
Woodwardia virginica,AB040606.1,,,,
Xyris difformis,KF724203.1,,,,
Xyris torta,,,,,
Zannichellia palustris,U03725.1,AB818879.1,EF526374.1,DQ786418.1,
Zanthoxylum americanum,,EF489101.1,HM851470.1,EF489249.1,
Zizania aquatica,FJ908120.1,AF164393.1,AF169231.1,GU177409.1,
Zizia aptera,JX848397.1,,AF358594.1,,
Zizia aurea,,KF620110.1,KF619741.1,,
