Carex bicknellii,140791
Carex blanda,69851
Carex brevior,314401
Carex bromoides,240666
Carex brunnescens,240691
Carex buxbaumii,241202
Carex canescens,140796
Carex careyana,69852
Carex cephaloidea,312731
Carex cephalophora,100277
Carex chordorrhiza,240692
Carex communis,140800
Carex comosa,312735
Carex conjuncta,432985
Carex conoidea,653368
Carex crawei,912406
Carex crawfordii,314409
Carex crinita,312737
Carex cristatella,314410
Carex crus-corvi,312738
Carex cryptolepis,483227
Carex cumulata,314411
Carex davisii,912412
Carex debilis,140802
Carex deweyana,69854
Carex diandra,140803
Carex digitalis,140804
Carex disperma,312740
Carex eburnea,140807
Carex echinata,234467
Carex emmonsii,not found
Carex emoryi,657472
Carex festucacea,314419
Carex flava,140816
Carex folliculata,312743
Carex formosa,912429
Carex frankii,912430
Carex garberi,912431
Carex gracilescens,912437
Carex gracillima,140820
Carex granularis,418164
Carex gravida,472443
Carex grayi,100279
Carex grisea,653373
Carex haydenii,314425
Carex hirsutella,912445
Carex hirtifolia,312746
Carex hitchcockiana,312747
Carex hystericina,312748
Carex interior,203791
Carex intumescens,312749
Carex jamesii,69870
Carex lacustris,912454
Carex laeviconica,912455
Carex laevivaginata,312750
Carex lasiocarpa,241213
Carex laxiculmis,912457
Carex laxiflora,69859
Carex leptalea,100281
Carex leptonervia,912462
Carex limosa,140829
Carex longii,314432
Carex lupuliformis,912466
Carex lupulina,140830
Carex lurida,140831
Carex meadii,912471
Carex molesta,314438
Carex muehlenbergii,312756
Carex muskingumensis,240673
Carex nigromarginata,247934
Carex normalis,314441
Carex oligocarpa,312758
Carex oligosperma,312759
Carex pallescens,140842
Carex pauciflora,140843
Carex peckii,69861
Carex pedunculata,140846
Carex pellita,912486
Carex pensylvanica,69862
Carex plantaginea,69863
Carex platyphylla,912492
Carex prairea,314456
Carex prasina,140851
Carex projecta,312761
Carex pseudocyperus,241227
Carex radiata,312763
Carex retrorsa,312764
Carex richardsonii,912499
Carex rosea,312766
Carex rugosperma,69865
Carex sartwellii,314462
Carex scabrata,312767
Carex scoparia,314463
Carex seorsa,433008
Carex shortiana,312769
Carex siccata,240668
Carex sparganioides,418181
Carex sprengelii,912512
Carex squarrosa,312770
Carex sterilis,433011
Carex stipata,240665
Carex straminea,314471
Carex stricta,301498
Carex suberecta,314474
Carex swanii,312772
Carex tenera,314416
Carex tenuiflora,312774
Carex tetanica,912518
Carex tonsa,299770
Carex torreyi,140860
Carex torta,140861
Carex tribuloides,312775
Carex trichocarpa,312776
Carex trisperma,312777
Carex tuckermanii,312778
Carex typhina,140862
Carex utriculata,912523
Carex vesicaria,241236
Carex virescens,312780
Carex viridula,241237
Carex vulpinoidea,140866
Carex woodii,912529
Carex x,not found
Carpinus caroliniana,12991
Carya cordiformis,139928
Carya laciniosa,1370058
Carya ovalis,13403
Carya ovata,60418
Carya tomentosa,91227
Castilleja coccinea,374697
Castilleja sessiliflora,1229048
Caulophyllum thalictroides,46963
Ceanothus americanus,54778
Ceanothus herbaceus,73683
Celastrus scandens,123407
Celtis occidentalis,228587
Celtis tenuifolia,not found
Cenchrus longispinus,not found
Cephalanthus occidentalis,43461
Cerastium nutans,271579
Cerastium velutinum,271555
Ceratophyllum demersum,4428
Ceratophyllum echinatum,251681
Cercis canadensis,49801
Chaerophyllum procumbens,109108
Chamaecrista fasciculata,53854
Chamaecrista nictitans,225969
Chamaedaphne calyculata,13417
Chamaesyce maculata,216479
Chamaesyce nutans,216481
Chamaesyce polygonifolia,not found
Chamerion angustifolium,13055
Chasmanthium latifolium,38735
Chelone glabra,262425
Chenopodium leptophyllum,910633
Chenopodium simplex,932096
Chenopodium standleyanum,1072230
Chimaphila maculata,93813
Chimaphila umbellata,93815
Chrysopsis camporum,not found
Chrysosplenium americanum,36749
Cicuta bulbifera,254035
Cicuta maculata,178650
Cimicifuga racemosa,64040
Cinna arundinacea,568985
Circaea alpina,22655
Circaea canadensis,253508
Cirsium altissimum,1308046
Cirsium discolor,196712
Cirsium muticum,196730
Cirsium pitcheri,196734
Cirsium pumilum,1261135
Cladium mariscoides,906947
Claytonia virginica,89079
Clematis pitcheri,748707
Clematis virginiana,743734
Clinopodium arkansanum,980656
Clinopodium vulgare,204222
Clintonia borealis,34183
Coeloglossum viride,230577
Coleataenia anceps,206010
Coleataenia longifolia,not found
Coleataenia rigidula,not found
Collinsia verna,183438
Collinsonia canadensis,39289
Comandra umbellata,50119
Comarum palustre,57932
Commelina erecta,428228
Comptonia peregrina,29742
Conioselinum chinense,52460
Conopholis americana,4179
Coptis trifolia,38790
Corallorhiza maculata,48526
Corallorhiza odontorhiza,459589
Corallorhiza trifida,451881
Corallorhiza wisteriana,459594
Coreopsis lanceolata,159666
Coreopsis palmata,159674
Coreopsis tripteris,159685
Corispermum hyssopifolium,1151092
Cornus alba,367337
Cornus alternifolia,16902
Cornus canadensis,4282
Cornus drummondii,367342
Cornus florida,4283
Cornus obliqua,16904
Cornus racemosa,4284
Cornus rugosa,367353
Corydalis flavula,330165
Corydalis sempervirens,3464
Corylus americana,78632
Corylus cornuta,13452
Crataegus calpodendron,416281
Crataegus chrysocarpa,510715
Crataegus crus-galli,216036
Crataegus flabellata,510723
Crataegus intricata,not found
Crataegus mollis,36593
Crataegus pedicellata,not found
Crataegus pruinosa,not found
Crataegus punctata,416294
Crataegus succulenta,1143232
Crotalaria sagittalis,not found
Cryptogramma stelleri,377231
Cryptotaenia canadensis,54828
Cuscuta campestris,132261
Cuscuta cephalanthi,267556
Cuscuta compacta,267558
Cuscuta coryli,437251
Cuscuta glomerata,113197
Cuscuta gronovii,35886
Cuscuta pentagona,112407
Cuscuta polygonorum,437289
Cycloloma atriplicifolium,46098
Cynoglossum virginianum,1288187
Cyperus acuminatus,1350059
Cyperus bipartitus,not found
Cyperus dentatus,not found
Cyperus diandrus,not found
Cyperus erythrorhizos,330166
Cyperus esculentus,1053340
Cyperus flavescens,76497
Cyperus houghtonii,not found
Cyperus lupulinus,932097
Cyperus odoratus,388568
Cyperus schweinitzii,not found
Cyperus squarrosus,140880
Cyperus strigosus,529434
Cypripedium acaule,38191
Cypripedium arietinum,153602
Cypripedium candidum,442461
Cypripedium parviflorum,153603
Cypripedium reginae,53051
Cypripedium x,not found
Cystopteris bulbifera,1328777
Cystopteris fragilis,32112
Cystopteris protrusa,1328783
Cystopteris tenuis,1328787
Dalea candida,252452
Dalea foliosa,not found
Dalea purpurea,248511
Danthonia spicata,42048
Dasiphora fruticosa,32239
Dasistoma macrophylla,282250
Decodon verticillatus,162018
Delphinium tricorne,158006
Dendrolycopodium obscurum,62333
Deparia acrostichoides,1108166
Deschampsia caespitosa,37723
Deschampsia flexuosa,29672
Desmanthus illinoensis,196648
Desmodium canadense,932098
Desmodium canescens,556502
Desmodium ciliare,1549122
Desmodium cuspidatum,556504
Desmodium glabellum,not found
Desmodium glutinosum,556505
Desmodium illinoense,not found
Desmodium marilandicum,1549123
Desmodium nudiflorum,556507
Desmodium obtusum,not found
Desmodium paniculatum,343495
Desmodium rotundifolium,1089624
Desmodium sessilifolium,not found
Diarrhena americana,65976
Dicentra canadensis,581247
Dicentra cucullaria,417911
Dichanthelium acuminatum,220438
Dichanthelium boreale,not found
Dichanthelium clandestinum,220419
Dichanthelium commutatum,888266
Dichanthelium depauperatum,888267
Dichanthelium dichotomum,795688
Dichanthelium latifolium,1262105
Dichanthelium leibergii,not found
Dichanthelium linearifolium,1262106
Dichanthelium meridionale,not found
Dichanthelium oligosanthes,888268
Dichanthelium ovale,not found
Dichanthelium perlongum,not found
Dichanthelium portoricense,1620044
Dichanthelium sphaerocarpon,1620046
Dichanthelium spretum,not found
Dichanthelium wilcoxianum,not found
Didiplis diandra,907228
Diervilla lonicera,79606
Digitaria flliformis,not found
Dioscorea villosa,330167
Diphasiastrum complanatum,34168
Diphasiastrum tristachyum,37432
Diplazium pycnocarpon,93615
Dirca palustris,39989
Dodecatheon meadia,59976
Doellingeria umbellata,72927
Draba reptans,95427
Drosera intermedia,463625
Drosera rotundifolia,173423
Drymocallis arguta,57927
Dryopteris carthusiana,239555
Dryopteris celsa,1082683
Dryopteris clintoniana,1082684
Dryopteris cristata,32114
Dryopteris fllix-mas,not found
Dryopteris goldiana,207840
Dryopteris intermedia,207841
Dryopteris marginalis,449839
Dulichium arundinaceum,100290
Echinacea pallida,53749
Echinacea purpurea,53751
Echinochloa crus-galli,90397
Echinochloa walteri,458535
Echinocystis lobata,252533
Echinodorus berteroi,430087
Eleocharis acicularis,280053
Eleocharis compressa,756498
Eleocharis elliptica,863328
Eleocharis engelmannii,110285
Eleocharis equisetoides,110286
Eleocharis geniculata,110288
Eleocharis intermedia,863332
Eleocharis melanocarpa,110290
Eleocharis microcarpa,110291
Eleocharis obtusa,110294
Eleocharis olivacea,not found
Eleocharis palustris,110297
Eleocharis quadrangulata,529437
Eleocharis quinqueflora,46325
Eleocharis robbinsii,110302
Eleocharis rostellata,110303
Eleocharis tenuis,863360
Eleocharis wolfii,not found
Ellisia nyctelea,79343
Elodea canadensis,100364
Elodea nuttallii,55313
Elymus canadensis,29675
Elymus hystrix,145781
Elymus riparius,145779
Elymus trachycaulus,52709
Elymus villosus,not found
Elymus virginicus,145780
Endodeca serpentaria,not found
Enemion biternatum,46967
Epifagus virginiana,4177
Epigaea repens,45914
Epilobium ciliatum,33132
Epilobium coloratum,932100
Epilobium leptophyllum,1233960
Epilobium palustre,669682
Epilobium strictum,not found
Equisetum arvense,3258
Equisetum fluviatile,231680
Equisetum hyemale,3262
Equisetum laevigatum,223814
Equisetum palustre,113538
Equisetum scirpoides,3261
Equisetum sylvaticum,231679
Equisetum variegatum,231678
Equisetum x,not found
Eragrostis capillaris,not found
Eragrostis frankii,not found
Eragrostis hypnoides,270244
Eragrostis pectinacea,433869
Eragrostis spectabilis,888271
Erigenia bulbosa,63005
Erigeron annuus,91248
Erigeron canadensis,72917
Erigeron divaricatus,not found
Erigeron philadelphicus,72930
Erigeron pulchellus,91287
Erigeron strigosus,91296
Eriocaulon aquaticum,72646
Eriophorum angustifolium,100292
Eriophorum gracile,388570
Eriophorum vaginatum,76438
Eriophorum virginicum,1540056
Eriophorum viridicarinatum,46327
Eryngium yuccifolium,90460
Erysimum capitatum,220481
Erythronium albidum,134856
Erythronium americanum,202119
Euonymus atropurpureus,482937
Euonymus obovatus,not found
Eupatorium altissimum,102769
Eupatorium perfoliatum,102777
Eupatorium serotinum,103756
Eupatorium sessilifolium,102779
Euphorbia commutata,1333898
Euphorbia corollata,457242
Euphorbia obtusata,not found
Eurybia furcata,481917
Eurybia macrophylla,481921
Eurybia schreberi,481928
Euthamia caroliniana,199513
Euthamia graminifolia,72935
Euthamia gymnospermoides,not found
Eutrochium fistulosum,102764
Eutrochium maculatum,102765
Eutrochium purpureum,102766
Fagus grandifolia,60423
Fallopia cilinodis,105046
Fallopia scandens,76037
Festuca paradoxa,not found
Festuca saximontana,464078
Festuca subverticillata,391970
Filipendula rubra,not found
Fimbristylis autumnalis,372897
Fimbristylis puberula,1620055
Floerkea proserpinacoides,13531
Fragaria vesca,57918
Fragaria virginiana,101015
Frasera caroliniensis,485363
Fraxinus americana,38872
