TRANSECT STRING,
>,
    QUAD,1
ACRONYM,COVER
ASTLAT,5
ASTPIL,1
CIRARV,5
CIRVUL,1
CORRAC,15
CRAMOL,1
CXNORM,15
DAUCAR,1
ERISTR,5
FESELA,1
HELHIR,60
OXAEUR,2
PRUVLA,3
RHACAT,10
RHURAD,10
SOLALT,25
>,
    QUAD,2
ACRONYM,COVER
ALLCAN,1
ASTLAT,10
ASTSAD,2
BIDFRO,2
CXBLAN,10
CXNORM,10
CXVULP,10
DAUCAR,1
ELYVIR,1
FESELA,20
FRAVIR,1
GEUCAN,1
LEEVIR,1
PHLPRA,1
PLARUG,10
POTSIS,1
PRUVLA,1
PYCVIR,3
RATPIN,1
RHACAT,15
RUDSUB,5
SCIPEN,3
SOLALT,15
TAROFF,1
VIOSOR,2
ZIZAUR,5
>,
    QUAD,3
ACRONYM,COVER
ALLCER,3
ARITRI,3
ASTLAT,10
GEUCAN,2
IMPCAP,2
LEEVIR,1
PENDIG,5
RUDSUB,70
SOLALT,30
SOLGIG,5
THADAD,5
TRIREC,1
VERVIR,4
ZIZAUR,20
>,
    QUAD,4
ACRONYM,COVER
ARITRI,2
ASTLAT,10
ASTSAD,1
BIDFRO,1
ELYVIL,3
EUPPUR,20
GEUCAN,1
HELHIR,15
IMPCAP,1
LEEVIR,2
PRUVLA,3
RANREC,5
RANSEP,40
SILSTE,10
SOLALT,40
SOLULM,10
ZIZAUR,10
>,
    QUAD,5
ACRONYM,COVER
ALLCAN,5
ASTLAT,8
BIDFRO,1
CAMSCI,1
CRYCAN,25
CXBLAN,4
EUPPUR,5
HELHIR,10
IMPCAP,1
LEEVIR,30
OXAEUR,1
PENDIG,2
POLGVI,5
POTSIS,5
RANSEP,20
SILSTE,10
SMIECI,2
ZIZAUR,10
>,
    QUAD,6
ACRONYM,COVER
AMPBRB,2
ASTLAT,30
ASTSHO,20
CIRLUC,8
CRYCAN,10
CXBLAN,3
EUPPUR,5
IMPCAP,5
MONFIS,5
POLGVI,3
POTSIS,3
RANSEP,1
RUBIDS,15
SMIECI,1
SOLALT,25
ZIZAUR,1
>,
    QUAD,7
ACRONYM,COVER
AMPBRB,2
ASTLAT,15
ASTSAD,2
ASTSHO,5
CIRARV,1
ELYVIL,1
FRAVIR,1
GERMAC,5
HELHIR,5
IMPCAP,3
LEEVIR,50
OXAEUR,1
POLGVI,90
POTSIS,5
RANSEP,20
RHACAT,25
SOLALT,5
SOLULM,15
VIOSOR,2
ZIZAUR,10
>,
    QUAD,8
ACRONYM,COVER
AMPBRB,1
ARITRI,5
ASTLAT,10
CIRLUC,4
EUPPUR,5
FRAVIR,3
GERMAC,2
HELHIR,20
IMPCAP,1
POTSIS,10
RHACAT,25
RHAFRA,1
RUBIDS,2
RUBOCC,2
SMIECI,1
SMISTE,1
SOLGRN,5
SOLULM,30
TRIREC,1
>,
