TRANSECT STRING,
>,
QUAD,4
ACRONYM,   COVER
ASTSAD,3
CIRLUC,1
EUPPUR,30
HELHIR,10
LEEVIR,1
OXAEUR,1
PILPUM,1
POLPUN,8
RANSEP,10
SILSTE,2
SOLALT,20
SOLULM,5
>,
QUAD,5
ACRONYM,   COVER
ALLCAN,1
ASTSHO,2
BIDFRO,2
CINARU,40
CIRLUC,3
ELYVIR,3
EUPPUR,10
GEUCAN,2
HELHIR,10
LEEVIR,5
PENDIG,15
PILPUM,2
POLPUN,3
POTSIS,2
RANSEP,2
SILSTE,2
SMIECI,1
SOLALT,3
>,
QUAD,6
ACRONYM,   COVER
AMPBRB,2
ARITRI,2
ASTSHO,1
CXBLAN,1
CINARU,50
CIRLUC,6
GEUCAN,4
GLYSTR,2
HELHIR,4
MONFIS,8
PILPUM,2
PLARUG,1
POLPUN,1
RANSEP,15
RUBOCC,10
SOLALT,15
ZIZAUR,3
>,
QUAD,7
ACRONYM,   COVER
ASTPIL,5
BIDFRO,5
CINARU,15
ELYVIR,2
GERMAC,5
GEUCAN,10
PILPUM,1
QUEMAC,1
RANSEP,1
RHACAT,10
ROSMUL,2
SOLCAE,1
POLGVI,8
ZIZAUR,2
>,
QUAD,8
ACRONYM,   COVER
ARITRI,2
ASTLAT,1
ASTSHO,2
ASTSIS,4
FRAVIR,1
GERMAC,2
POTSIS,1
RHACAT,90
RUBOCC,5
SCRMAR,4
SMISTE,1
SMILAS,3
SOLCAE,4
SOLGRN,2
SOLULM,8
>,
QUAD,9
ACRONYM,   COVER
ARITRI,1
ASTLAT,3
ASTSHO,6
CXBLAN,1
CINARU,1
CIRLUC,11
CORRAC,5
FRAVIR,2
GERMAC,2
HERMAX,3
IMPCAP,1
OXAEUR,1
PILPUM,4
POTSIS,5
RANSEP,30
RHACAT,10
RHAFRA,8
RUDTRI,1
SMISTE,1
SOLALT,3
SOLCAE,3
SOLFLE,1
SOLULM,30
>,
QUAD,10
ACRONYM,   COVER
ASTLAT,1
ASTMAC,15
FRAVIR,2
GERMAC,2
GEULAT,10
IMPCAP,10
OXAEUR,1
POLGVI,2
PRUVIR,4
RHACAT,10
RHURAD,1
RUBOCC,40
SCRMAR,2
SMISTE,1
SOLALT,15
SOLFLE,10
THADAD,3
>,
QUAD,11
ACRONYM,   COVER
ASTSIS,2
CIRLUC,3
CORRAC,6
FRAVIR,4
GEUCAN,10
HELHIR,10
IMPCAP,30
OXYRIG,1
PILPUM,2
POTSIS,2
PRUVIR,2
RHAFRA,6
RUBOCC,15
SMISTE,2
TRIPER,40
VIOSOR,1
>,
QUAD,12
ACRONYM,   COVER
ALLPET,1
ASTLAT,2
ASTPIL,8
ASTSAD,2
CXCEPP,5
CXBLAN,1
CIRARV,2
CORRAC,40
GERMAC,2
HELHIR,8
MONFIS,3
OXAEUR,1
PHYVIV,2
PRUVIR,5
RUBFLA,8
RUBOCC,5
RUDSUB,5
SMIECI,1
SOLALT,15
THADAD,10
VIOSOR,1
>,
QUAD,15
ACRONYM,   COVER
ARITRI,2
ASTMAC,8
ASTSHO,5
BROPUB,2
CINARU,15
EUPMAM,40
EUPPUR,5
GEUCAN,2
LOBSIP,8
LONTAT,8
PILPUM,1
POLPER,1
POLPUN,10
POTSIS,5
SOLALT,8
SOLFLE,1
SOLULM,5
ZIZAUR,1
>,
QUAD,16
ACRONYM,   COVER
ALLCAN,4
ARIDRA,2
ASTPIL,1
BIDFRO,2
CXBLAN,15
CARCOR,4
CIRARV,8
CIRVUL,8
EREHIE,1
FRAVIR,1
GEUCAN,1
IMPCAP,2
PILPUM,1
RHACAT,6
>,
QUAD,20
ACRONYM,   COVER
ALLCAN,4
ARITRI,1
CIRLUC,5
CIRDIS,2
EUPPUR,5
FESOBT,1
FRAVIR,2
GEUCAN,6
OXAEUR,1
PILPUM,3
RHACAT,2
RUBFLA,5
SMIECI,2
SOLALT,40
SOLULM,5
>,
QUAD,21
ACRONYM,   COVER
AGRALA,1
ALLCAN,4
ARITRI,1
ASTMAC,5
ASTSHO,8
ERIANS,2
EUPPUR,5
FESOBT,20
HYSPAT,2
OSTVIR,1
QUECOC,1
RATPIN,2
SANCAD,1
SCRMAR,2
SILSTE,2
SMIRAC,2
SMIECI,4
SOLCAE,8
SOLULM,25
THADIO,1
ZIZAUR,5
>,
QUAD,22
ACRONYM,   COVER
ASTSAD,2
CXBLAN,3
CIRLUC,15
CIRARV,1
EUPPUR,4
EUPRUG,3
FRAVIR,2
OXAEUR,3
PARINS,3
RUBFLA,30
SANGRE,3
SCRMAR,30
SMISTE,1
SMIECI,3
SOLALT,5
SOLGRN,4
SOLJUN,25
SOLULM,5
ULMAME,1
>,
QUAD,23
ACRONYM,   COVER
BIDFRO,1
BROPUB,1
CIRLUC,2
CIRARV,2
DAUCAR,1
ELYVIR,1
FESOBT,1
GEUCAN,2
HELHIR,15
HYSPAT,1
MONFIS,5
MUHMEX,1
OXAEUR,1
POACOM,2
PRUVLA,2
RUBFLA,15
RUBOCC,3
RUDSUB,10
RUDTRI,5
SCRMAR,2
SMILAS,2
SOLALT,10
SOLJUN,4
SOLULM,40
SPHINT,2
TAROFF,1
THADAD,5
TRAOHI,4
VITRIP,5
ZIZAUR,2
