TRANSECT STRING,
>,
    QUAD,4
ACRONYM,COVER
ASTLAT,5
BROLAT,5
HELSTR,5
LEEVIR,10
PENDIG,3
POLGVI,2
POTSIS,2
RANSEP,20
RHACAT,2
SILSTE,10
SOLULM,5
ZIZAUR,90
>,
    QUAD,5
ACRONYM,COVER
ALLCAN,20
CAMSCI,15
CXBLAN,2
HELSTR,8
LEEVIR,50
POLGVI,5
POTSIS,8
RANSEP,20
SILSTE,5
ZIZAUR,50
>,
    QUAD,6
ACRONYM,COVER
AMPBRB,5
ASTLAT,10
CAROVT,7
CIRLUC,5
EUPPUR,15
HELSTR,25
PENDIG,5
POTSIS,5
RANSEP,20
RHURAD,10
RUDSUB,15
SOLALT,20
THAREV,50
ZIZAUR,20
>,
    QUAD,7
ACRONYM,COVER
AMPBRB,3
ASTLAT,60
GERMAC,15
IMPCAP,40
LEEVIR,5
POLGVI,25
POTSIS,3
RANSEP,25
RHACAT,20
SOLALT,25
SOLULM,25
VIOSOR,3
>,
    QUAD,8
ACRONYM,COVER
ARITRI,2
CAMSCI,2
CINARU,2
CXALBU,2
ELYVIR,2
EUPPUR,40
GERMAC,5
HELSTR,60
MONFIS,10
POLGVI,5
POTSIS,1
SMILAS,5
SMISTE,3
SOLALT,5
SOLFLE,2
SOLULM,30
THADIO,20
VERURU,8
>,
    QUAD,9
ACRONYM,COVER
ALLCAN,8
ALLPET,1
AMPBRB,10
ARIDRA,8
ARITRI,5
CIRALT,5
CRYCAN,20
EUPPUR,10
HELSTR,30
LEEVIR,15
LITLAT,5
OXAEUR,1
PILPUM,1
RANSEP,20
SMILAS,5
SMISTE,10
SOLULM,25
VIOSOR,5
ZIZAUR,15
>,
    QUAD,10
ACRONYM,COVER
ALLCAN,2
ARITRI,3
BIDFRO,25
CHESTA,3
CINARU,10
CIRLUC,5
EUPRUG,40
GALAPA,5
GERMAC,3
GEUCAN,15
POLGVI,5
SILSTE,5
SMISTE,2
SOLALT,30
VIOSOR,3
ZIZAUR,5
>,
    QUAD,11
ACRONYM,COVER
ARITRI,5
ASTLAT,5
BROPUB,5
CIRARV,2
HELSTR,5
HYSPAT,4
IMPCAP,5
LEEVIR,6
POLGVI,10
POTSIS,5
PREALB,10
PRUSER,1
RHACAT,5
SMISTE,2
SOLALT,5
SOLULM,5
TRIPER,40
ZIZAUR,20
>,
    QUAD,12
ACRONYM,COVER
ALLCAN,5
ALLCER,15
ARITRI,15
CXCEPP,2
CXCRIS,20
CXPENS,40
EUPMAM,10
GERMAC,5
HELSTR,100
MONFIS,3
PREALB,2
RHACAT,5
RUBFLA,3
RUDSUB,15
SMIECI,10
TAROFF,3
THADAD,15
>,
    QUAD,15
ACRONYM,COVER
ALLCAN,3
AMPBRB,10
ARIDRA,10
ARITRI,5
ASTMAC,15
ASTSHO,10
CAMSCI,2
CINARU,2
EUPMAM,25
EUPPUR,15
EUPRUG,25
GEUCAN,5
LEEVIR,2
MONFIS,8
POTSIS,12
SMIECI,5
SOLJUN,5
SOLULM,30
THADAD,15
THAREV,5
>,
    QUAD,16
ACRONYM,COVER
ALLCAN,5
ARIDRA,2
CAMSCI,7
CXDAVI,20
EUPRUG,20
GEUCAN,2
LEEVIR,100
LITLAT,5
OXAEUR,1
POLGVI,1
RANHIS,1
SMIECI,1
SOLULM,15
VIOSOR,10
>,
    QUAD,20
ACRONYM,COVER
ARIDRA,15
ARITRI,10
BROPUB,5
CIRALT,1
DENLAC,1
EUPPUR,60
GERMAC,2
OSTVIR,1
OXAEUR,1
SMIECI,2
SMISTE,5
SOLULM,5
>,
    QUAD,21
ACRONYM,COVER
ARIDRA,3
ARITRI,5
ASTSHO,10
BRAERE,2
BROPUB,2
CIRLUC,5
DENLAC,2
EUPPUR,10
SMIECI,2
SMIRAC,2
SOLCAE,10
SOLULM,25
ZIZAUR,2
>,
    QUAD,22
ACRONYM,COVER
ARITRI,15
ASTSAD,5
CIRALT,5
CIRLUC,2
CXBLAN,3
EUPPUR,15
EUPRUG,5
GEUCAN,5
HELSTR,25
JUNTEN,5
LITLAT,20
OXAEUR,2
PANLAT,5
PLARUG,5
PRUSER,1
SMILAS,5
SMISTE,2
SOLGRG,2
SOLULM,30
TAROFF,2
>,
    QUAD,23
ACRONYM,COVER
ARITRI,20
CORTRP,5
CXBLAN,2
CXCRIS,5
CXPENS,50
FRAVIR,2
HELSTR,40
MONFIS,5
PERAME,2
POTSIS,5
RHACAT,2
RUBFLA,10
RUDSUB,50
SMILAS,2
SMISTE,2
SOLULM,15
TAROFF,2
THADAD,2
TRIAUA,5
TRIPER,2
VITRIP,3
ZIZAUR,5
