TRANSECT STRING,
>,
    QUAD,4
ACRONYM,COVER
ALLCAN,5
CXBLAN,5
FLOPRO,20
GALAPA,3
HELSTR,40
IMPCAP,2
LEEVIR,2
RANSEP,20
RHACAT,1
RUDSUB,5
SILSTE,15
SMILAS,10
SOLALT,15
ZIZAUR,80
>,
    QUAD,5
ACRONYM,COVER
ALLCAN,8
AMPBRB,5
ASTLAT,3
BIDFRO,1
CAMSCI,10
FLOPRO,5
HELSTR,15
IMPCAP,1
LEEVIR,15
PENCAL,5
POLGVI,2
POTSIS,5
RANSEP,20
RUDSUB,5
SILSTE,10
ZIZAUR,80
>,
    QUAD,6
ACRONYM,COVER
AMPBRB,15
CIRLUC,1
EUPPUR,20
HELSTR,75
LEEVIR,1
PENCAL,2
RUDSUB,20
SOLALT,20
THAREV,20
ZIZAUR,20
>,
    QUAD,7
ACRONYM,COVER
ASTLAT,10
FLOPRO,15
FRAVIR,5
GERMAC,20
HELSTR,60
IMPCAP,10
LEEVIR,5
POLGVI,10
POTSIS,5
RANSEP,20
RHACAT,5
RUDSUB,8
SMIECI,2
SOLALT,20
SOLULM,20
>,
    QUAD,8
ACRONYM,COVER
ARITRI,5
CAMSCI,3
CIRLUC,1
EUPPUR,15
GERMAC,2
HELSTR,95
POLCAL,4
POLGVI,1
POLREP,2
SMIECI,15
SMIRAC,3
SOLULM,25
THADIO,20
TRIREC,5
UVUGRA,1
>,
    QUAD,9
ACRONYM,COVER
ALLCAN,15
AMPBRB,50
ARIDRA,10
ARITRI,5
CAROVT,5
CIRALT,1
DENLAC,5
EUPPUR,5
FRAVIR,2
HELSTR,15
LEEVIR,3
LITLAT,10
MUHMEX,3
PENCAL,3
POLCAL,15
POTSIS,5
RANSEP,25
SMIECI,5
SOLCAE,5
SOLULM,25
SPHINT,1
TRIREC,2
VIOPUB,8
ZIZAUR,15
>,
    QUAD,10
ACRONYM,COVER
ARITRI,3
BOECYC,10
CHESTA,1
CINARU,2
EUPRUG,25
GALAPA,10
GERMAC,10
GEUCAN,2
IMPCAP,20
LEEVIR,8
POLGVI,10
RANREC,5
SILSTE,5
SOLALT,15
TRIPER,10
ZIZAUR,40
>,
    QUAD,11
ACRONYM,COVER
CAROVT,15
CIRLUC,10
HELSTR,90
HYSPAT,8
LEEVIR,5
POTSIS,15
PREALB,10
RHACAT,2
SANCAD,8
SMISTE,5
TRIPER,30
ZIZAUR,25
>,
    QUAD,12
ACRONYM,COVER
ALLCER,10
ALLPET,1
ARITRI,10
CXCEPP,4
CXPENS,15
GERMAC,5
HELSTR,95
PREALB,3
RHACAT,1
RUBFLA,15
SMIECI,2
SMILAS,1
THADIO,10
TRIREC,1
>,
    QUAD,15
ACRONYM,COVER
ALLCAN,1
AMPBRB,35
ARIDRA,2
ASTLAT,8
ASTSHO,15
CAMSCI,6
EUPPUR,20
MONFIS,4
POTSIS,3
SMIECI,2
SOLJUN,2
SOLULM,40
THAREV,15
TRIREC,2
>,
    QUAD,16
ACRONYM,COVER
ALLCAN,3
CAMSCI,25
CIRLUC,5
CXDAVI,8
EUPRUG,20
GEUCAN,12
HELSTR,5
HERMAX,5
IMPCAP,10
LEEVIR,80
OXAEUR,1
POLGVI,5
SOLULM,15
TRIPER,10
VIOPUB,10
>,
    QUAD,20
ACRONYM,COVER
ARIDRA,10
ARITRI,10
CAMAME,1
CINARU,2
CIRALT,5
DENLAC,2
EUPPUR,10
HACVIR,1
OXAEUR,1
POLCAL,2
RHACAT,15
SOLULM,10
SPHINT,2
>,
    QUAD,21
ACRONYM,COVER
ARITRI,3
ASTSHO,5
BRAERE,1
CIRLUC,2
DENLAC,5
GEUCAN,1
SMIECI,2
SMISTE,1
SOLCAE,20
SOLULM,60
TRIREC,1
ZIZAUR,3
>,
    QUAD,22
ACRONYM,COVER
ARITRI,15
ASTSHO,5
EUPPUR,20
EUPRUG,10
GEUCAN,1
HELSTR,50
LITLAT,50
OXAEUR,1
PLARUG,2
RUBFLA,5
SANCAD,1
SANMAR,1
SMILAS,10
SMISTE,8
SOLULM,15
TAROFF,1
TRIREC,1
>,
    QUAD,23
ACRONYM,COVER
CORTRP,12
CXPENS,20
FRAVIR,2
HELSTR,80
PERAME,5
POTSIS,2
RHACAT,5
RUDSUB,40
SMILAS,5
SMIRAC,5
SMISTE,1
SOLULM,30
TAROFF,1
TRIAUA,5
VITRIP,10
