TRANSECT STRING,
>,
    QUAD,4
ACRONYM,COVER
ACARHO,1
ALLCAN,4
ARITRI,1
CINARU,5
CIRLUC,2
ELYVIL,5
EUPPUR,5
GEUCAN,10
LEEVIR,5
PENDIG,10
RANSEP,10
RHACAT,8
SILSTE,8
SOLALT,10
SOLULM,5
ZIZAUR,40
>,
    QUAD,5
ACRONYM,COVER
ALLCAN,20
ARITRI,1
BIDFRO,15
CHEHYG,1
CRYCAN,15
GEUCAN,8
LEEVIR,10
PENDIG,5
RANSEP,10
SILSTE,15
ZIZAUR,60
>,
    QUAD,6
ACRONYM,COVER
AMPBRB,10
CHEHYG,10
CINARU,3
CRYCAN,8
EUPPUR,2
HELHIR,1
IMPCAP,1
LEEVIR,10
PENDIG,30
POLGVI,3
POTSIS,5
RANSEP,12
RHURAD,1
RUBIDS,5
SCRMAR,5
SOLALT,8
THADIO,1
ZIZAUR,40
>,
    QUAD,7
ACRONYM,COVER
ALLPET,5
ASTLAT,5
BIDFRO,5
EREHIE,15
GERMAC,5
GEUCAN,20
IMPCAP,2
LEEVIR,85
OXAEUR,10
POLGVI,10
POTSIS,1
RANREC,1
RANSEP,10
SCRMAR,10
SOLULM,15
VIOSOR,1
VITRIP,1
>,
    QUAD,8
ACRONYM,COVER
ALLTRT,1
ARITRI,2
CINARU,1
CXBLAN,8
EREHIE,1
EUPPUR,3
FRAPES,1
FRAVIR,2
GERMAC,4
GEUCAN,5
HACVIR,2
HELHIR,8
IMPCAP,2
OXAEUR,25
POTSIS,5
RHACAT,2
SCRMAR,5
SMIECI,2
SMISTE,1
SOLULM,40
THADIO,1
ZIZAUR,4
>,
    QUAD,9
ACRONYM,COVER
ALLCAN,10
ALLPET,3
AMPBRB,2
ARIDRA,2
ARITRI,3
ASTSHO,2
CHEHYG,1
CXGRAY,5
GERMAC,2
LEEVIR,5
OXAEUR,10
POLGVI,1
RANSEP,5
RHACAT,2
RIBAME,1
SCRMAR,5
SMIECI,1
SMISTE,1
SOLCAE,2
VIOPUB,2
>,
    QUAD,10
ACRONYM,COVER
ALLCAN,1
ARITRI,2
BIDFRO,3
CIRLUC,5
GERMAC,4
GEUCAN,15
HELMAX,2
IMPCAP,2
PARQUI,1
POLGVI,30
PRUVIR,2
RHACAT,1
SMIRAC,1
SOLALT,5
SOLFLE,8
>,
    QUAD,11
ACRONYM,COVER
ARITRI,1
CIRARV,1
CIRLUC,5
GERMAC,2
GEUCAN,2
HACVIR,1
HYSPAT,2
LEEVIR,10
POLGVI,18
POTSIS,1
PREALB,2
RHACAT,8
SOLALT,10
VIOSOR,1
ZIZAUR,5
>,
    QUAD,12
ACRONYM,COVER
ALLCER,12
ANDGER,20
ARITRI,4
ASTLAT,8
ASTSAD,4
BROCIL,3
CIRALT,8
CXCEPP,5
CXNORM,5
CXPENS,90
FRAVIR,3
GERMAC,10
GEUCAN,3
HELHIR,40
HYSPAT,20
MONFIS,25
PENDIG,3
PREALB,1
RHACAT,8
RUBFLA,2
RUDSUB,10
SMILAS,2
SOLALT,5
THADIO,10
>,
    QUAD,14
ACRONYM,COVER
AMPBRB,2
ARITRI,1
DIOVIL,15
HACVIR,2
IMPCAP,2
LEEVIR,15
OXYRIG,5
POLGVI,5
POTSIS,2
RANREC,5
RHACAT,8
RUBOCC,2
SMIECI,5
SMISTE,1
SOLALT,20
SOLULM,10
THADIO,2
UVUGRA,5
ZIZAUR,10
>,
    QUAD,15
ACRONYM,COVER
AMPBRB,2
ARIDRA,3
ARITRI,1
ASTLAT,2
ASTMAC,5
ASTSHO,15
CIRLUC,5
CRYCAN,8
CXBLAN,5
EUPMAM,20
EUPPUR,5
HACVIR,1
LEEVIR,25
POLGVI,10
POTSIS,4
SMIECI,2
SOLALT,5
SOLULM,15
THADIO,5
>,
    QUAD,16
ACRONYM,COVER
ALLCAN,2
ASTSHO,6
BIDFRO,2
CAMSCI,4
CXBLAN,1
CXDAVI,6
CXGRAY,5
CXNORM,2
GEUCAN,1
HACVIR,2
HEDPUL,50
HELMAX,10
IMPCAP,1
LEEVIR,20
MENCAN,2
POLGVI,5
PRUVLA,1
RHACAT,5
SOLULM,15
VIOSOR,5
>,
    QUAD,20
ACRONYM,COVER
ALLCAN,1
ARIDRA,3
ARITRI,10
DENLAC,1
EUPMAM,10
EUPPUR,60
GEUCAN,15
HACVIR,1
SMIECI,1
SMILAS,2
SOLULM,5
>,
    QUAD,21
ACRONYM,COVER
ALLPET,2
ANEVIR,2
ARIDRA,1
ARITRI,2
DENLAC,8
GEUCAN,2
SMIECI,3
SMIRAC,3
SOLCAE,10
SOLULM,25
ZIZAUR,5
>,
    QUAD,22
ACRONYM,COVER
ARITRI,2
BROPUB,2
CINARU,2
CIRALT,1
CXBLAN,8
EUPPUR,8
FESOBT,1
FRAVIR,1
HELHIR,10
OXAEUR,1
PRUSER,2
RHURAD,1
RUBFLA,5
SMIECI,6
SOLGRN,2
SOLULM,50
TAROFF,2
>,
    QUAD,23
ACRONYM,COVER
ALLCAN,5
ALLCER,4
ANEVIR,2
ARITRI,20
CXBLAN,8
CXPENS,30
DAUCAR,1
FRAVIR,2
HELHIR,45
HYSPAT,5
MONFIS,2
PENDIG,15
PERAME,3
POACOM,8
POTSIS,2
RHACAT,20
RUBFLA,10
RUDSUB,10
SMIECI,8
SOLALT,5
SOLULM,40
TAROFF,2
THADIO,6
TRIPER,3
VITRIP,15
