taxon,rbcL,matK,ITS,trnL-trnF
Euphorbia helioscopia,HM849988.1,EU659776.1,JN010052.1,JN009953.1
Euphorbia heterophylla,,,GU214931.1,JN249661.1
Euphorbia marginata,,,,FN423746.1
Euphorbia obtusata,,,,
Euphorbia peplus,KM360778.1,HM850919.1,JN010077.1,JN009978.1
Eurybia furcata,,,EU200195.1,GU480696.1
Eurybia macrophylla,KJ593404.1,KJ592941.1,EU625608.1,
Eurybia schreberi,,,EU625656.1,GU480708.1
Euthamia caroliniana,KJ773503.1,KJ772780.1,AF477653.1,
Euthamia graminifolia,KJ773504.1,KJ592944.1,HQ142624.1,HQ142504.1
Euthamia gymnospermoides,,,,
Eutrochium fistulosum,,,AB032041.1,
Eutrochium maculatum,HQ416171.1,EU337048.1,,
Eutrochium purpureum,KF724260.1,,FJ395159.1,
Evolvulus nuttallianus,AY101013.1,,DQ219869.1,AY101122.1
Fagopyrum esculentum,EF653762.1,AB093087.1,JF829994.1,EU024792.1
Fagus grandifolia,L13338.1,,AY232926.1,EF138802.1
Fallopia cilinodis,KJ593412.1,KM212073.1,AF186604.1,
Fallopia convolvulus,KM360782.1,EU024770.1,AF040064.1,
Fallopia sachalinensis,,AY042635.1,AF040073.1,HM748294.1
Fallopia scandens,EF653759.1,,AF040069.1,EF653785.1
Fatoua villosa,KJ773508.1,KF137999.1,KF137859.1,KF138331.1
Festuca flliformis,,,,
Festuca ovina,HQ600423.1,HM453067.1,EF397234.1,
Festuca paradoxa,,,,
Festuca rubra,KJ841324.1,KC474852.1,KJ598996.1,
Festuca saximontana,,,EF584969.1,EF593002.1
Festuca subverticillata,KJ841325.1,DQ786912.1,EF584974.1,EF593006.1
Ficaria verna,EU053919.1,AY954232.1,JX025227.1,
Filipendula rubra,,,,
Filipendula ulmaria,KM360786.1,,U90783.1,
Fimbristylis autumnalis,JX644686.1,,JX644880.1,JX644780.1
Fimbristylis puberula,KJ773513.1,KJ772790.1,,
Floerkea proserpinacoides,L12679.2,EU002178.1,,
Foeniculum vulgare,KM360787.1,U58563.1,FJ980396.1,AF044586.1
Forsythia x,,,,
Fragaria vesca,KM360789.1,JX118242.1,AF163480.1,AF348545.1
Fragaria virginiana,JX848523.1,JX118246.1,AF163513.1,AJ512220.1
Frangula alnus,KM360790.1,,JN900292.1,AY626429.1
Frasera caroliniensis,KF613045.1,,,KF317117.1
Fraxinus americana,KJ773520.1,,JX862625.1,AF231825.1
Fraxinus nigra,KJ841332.1,HQ593300.1,EU314868.1,EU284158.1
Fraxinus pennsylvanica,KJ773522.1,HQ593301.1,EU314876.1,EU284159.1
Fraxinus profunda,,HM171508.1,HQ705277.1,
Fraxinus quadrangulata,,HM171523.1,EU314882.1,AF231833.1
Froelichia floridana,AF132089.1,AY514799.1,AY174381.1,EF688751.1
Froelichia gracilis,,AY042588.1,AY173410.1,
Fuirena pumila,KJ773523.1,KJ772800.1,,
Fumaria offlcinalis,,,,
Gaillardia pulchella,KJ773526.1,HQ593303.1,EF108395.1,DQ395168.1
Galearis spectabilis,AY381121.1,,,
Galeopsis ladanum,,HQ911442.1,,HQ911739.1
Galeopsis tetrahit,KJ841333.1,JN966309.1,,JQ041839.1
Galinsoga parviflora,KM360797.1,FJ697076.1,FJ696962.1,
Galinsoga quadriradiata,GU817762.1,,GU818550.1,JQ041840.1
Galium aparine,DQ006124.1,HQ384560.1,AF419179.1,GU357174.1
Galium asprellum,KJ593429.1,,,
Galium boreale,JX848534.1,HQ593306.1,,GU357105.1
Galium brevipes,,,,
Galium circaezans,,,,GU357098.1
Galium concinnum,KF613049.1,,,
Galium labradoricum,,,,
Galium lanceolatum,HQ590110.1,HQ593307.1,,
Galium mollugo,KM360798.1,AM503814.2,AM503885.2,
Galium obtusum,,,,
Galium odoratum,JN893409.1,JN893879.1,,GU357175.1
Galium pedemontanum,,,,
Galium pilosum,KJ773531.1,KJ772809.1,,
Galium sylvaticum,,,,GU357150.1
Galium tinctorium,KJ773532.1,KJ772810.1,,GU357121.1
Galium trifidum,,,,GU357120.1
Galium triflorum,KJ841344.1,KJ592970.1,,GU357176.1
Galium verum,KJ746285.1,HQ593309.1,,GU357149.1
Gamochaeta purpurea,HM850036.1,,AY947411.1,
Gaultheria hispidula,KJ593437.1,,AF358887.1,JF801638.1
Gaultheria procumbens,HQ590116.1,AF366643.1,AF358895.1,JF801637.1
Gaura biennis,,,AJ620517.1,
Gaura coccinea,JX848478.1,,AJ620521.1,
Gaura fllipes,,,,
Gaura longiflora,,,AJ620527.1,
Gaura parviflora,,,AJ620515.1,AY264577.1
Gaylussacia baccata,,KJ840922.1,FJ985196.1,AF271701.1
Gentiana alba,,,,
Gentiana andrewsii,HQ590117.1,HQ593311.1,,
Gentiana puberulenta,,,,
Gentiana saponaria,,,,
Gentiana septemflda,,,,
Gentianella quinquefolia,KF496035.1,KF496072.1,EU812469.1,EU834123.1
Gentianopsis crinita,KF613047.1,AJ406345.1,,
Gentianopsis virgata,,,,
Geranium bicknellii,,,,DQ452925.1
Geranium carolinianum,EU922209.1,EU922172.1,JF976464.1,
Geranium columbinum,JX913505.1,HE966934.1,DQ525065.1,DQ452910.1
Geranium dissectum,JX913459.1,HM850907.1,AY944413.1,
Geranium maculatum,,,,
Geranium molle,KM360803.1,HM850908.1,,
Geranium nepalense,U77906.2,JF953875.1,DQ192637.1,
Geranium pusillum,JX913454.1,JN895976.1,DQ525070.1,
Geranium robertianum,JX913523.1,JN895998.1,AB689040.1,
Geum aleppicum,JX848524.1,HQ593312.1,KC004039.1,
Geum canadense,DQ006121.1,HQ593313.1,DQ006033.1,
Geum laciniatum,,,,
Geum rivale,KM360804.1,JN895978.1,AJ302352.1,
Geum triflorum,JX848525.1,,AJ302344.1,
Geum urbanum,HE963503.1,JN894110.1,U90802.1,
Geum vernum,,,AJ302355.1,
Geum virginianum,,,,
Ginkgo biloba,JQ512540.1,,Y16380.1,AY145323.1
Glandularia canadensis,,,,EF571544.1
Glandularia peruviana,,,FJ867445.1,FJ867533.1
Glechoma hederacea,L14292.1,AY840143.1,JQ669099.1,AY570455.1
Gleditsia triacanthos,Z70129.1,EU361958.1,AF509979.1,AF430775.1
Glyceria borealis,,,EU594626.1,
Glyceria canadensis,KF724332.1,,FJ032205.1,
Glyceria declinata,HM850032.1,JN895984.1,JN187603.1,JN187651.1
Glyceria grandis,AY632364.1,HQ593315.1,JN832695.1,
Glyceria maxima,JN891215.1,JN895612.1,FJ013226.1,EF137603.1
Glyceria septentrionalis,KM212126.1,KM212076.1,EU769508.1,
Glyceria striata,HQ590126.1,HQ593317.1,JN832694.1,EU119366.1
Glycine max,KR073292.1,,FJ609734.1,EU717321.1
Glycyrrhiza lepidota,AB126685.1,AF142730.1,KP338145.1,KP338267.1
Gnaphalium uliginosum,KM360808.1,HM445642.1,FN645823.1,FN645757.1
Goodyera pubescens,FJ571329.1,AJ543954.1,AJ539519.1,FJ571279.1
Gossypium hirsutum,JN243253.1,JN201459.1,KC404827.1,KC886596.1
Gratiola aurea,,,,
Gratiola neglecta,DQ006125.1,HQ235330.1,DQ006040.1,AY727238.1
Gratiola quartermaniae,,,,
Gratiola virginiana,HQ235614.1,,,
Grindelia squarrosa,JX848414.1,,JQ011937.1,
Gymnocarpium dryopteris,U05925.1,JX874019.1,,HQ676528.1
Gymnocladus dioicus,U74193.1,EU361966.1,AF510032.1,
Gypsophila paniculata,,JN589231.1,JN589150.1,FJ404986.1
Gypsophila scorzonerifolia,,JN589195.1,JN589100.1,
Hackelia virginiana,,KF287806.1,KF287976.1,KF288060.1
Hamamelis virginiana,DQ352368.1,AF013046.1,GU576667.1,DQ352196.1
Hedeoma hispida,,,,
Hedeoma pulegioides,KM212129.1,KM212078.1,,
Hedera helix,L01924.2,U58612.1,U63186.1,HQ220353.1
Helenium amarum,KJ773546.1,KJ772822.1,KF607067.1,
Helenium autumnale,GU817764.1,GU817467.1,GU818553.1,
Helenium flexuosum,,,KF607070.1,
Helianthemum bicknellii,,,,
Helianthemum canadense,,,,
Helianthus annuus,AF097517.1,AY215805.1,JN115024.1,KM385516.1
Helianthus decapetalus,,,JX121508.1,
Helianthus divaricatus,,,JX121511.1,
Helianthus giganteus,,,JX121516.1,AY009484.1
Helianthus grosseserratus,,,AF047951.1,
Helianthus hirsutus,KJ773554.1,KJ772830.1,AF047963.1,
Helianthus maximilianii,,,,
Helianthus mollis,KF613042.1,,AF047946.1,
Helianthus occidentalis,,,JX121530.1,
Helianthus pauciflorus,JX848416.1,,JX121534.1,
Helianthus petiolaris,,,JX121557.1,
Helianthus salicifolius,,,AF047955.1,
Helianthus strumosus,,,JX121566.1,
Helianthus subrhomboideus,,,,
Helianthus tuberosus,GU817765.1,AY009464.1,AF047953.1,GU818008.1
Helianthus x,,,,
Heliopsis helianthoides,,,,
Heliotropium europaeum,HM850049.1,,,HQ286160.1
Hemerocallis fulva,KM360813.1,JF972939.1,,
Hemerocallis lilio-asphodelus,AJ512314.1,AJ511415.1,KF850567.1,AF508519.1
Hepatica acutiloba,HQ589953.1,DQ994677.1,AM267285.1,AM268056.1
Hepatica americana,EU053901.1,AF542590.1,AY055386.1,
Heracleum mantegazzianum,,,EU594899.1,
Heracleum maximum,KF613112.1,U58564.1,KJ157633.1,
Herniaria glabra,AF132091.1,KF737630.1,AJ310965.1,JN589730.1
Heserostipa comata,,,,
Heserostipa spartea,,,,
Hesperis matronalis,KM360815.1,HQ593319.1,DQ357547.1,AY546166.1
Heteranthera dubia,U41581.1,,,
Heterotheca subaxillaris,KJ773559.1,KJ772834.1,GQ892730.1,
Heuchera americana,,,AF158954.1,
Heuchera richardsonii,JX848537.1,,AB292026.1,
Hibiscus laevis,,,AY341387.1,
Hibiscus moscheutos,KJ773562.1,KJ772836.1,AY341393.1,
Hibiscus syriacus,AY328174.1,EF207270.1,AF460188.1,AY328143.1
Hibiscus trionum,HM850051.1,,AY341385.1,
Hieracium aurantiacum,HQ590130.1,HQ593320.1,AY879157.1,AY879124.1
Hieracium caespitosum,HQ590132.1,HQ593322.1,HQ161951.1,DQ460870.1
Hieracium flagellare,,,,
Hieracium gronovii,KJ773563.1,KJ772837.1,HQ161948.1,
Hieracium longipilum,,,HQ161949.1,DQ460874.1
Hieracium paniculatum,KM212130.1,KM212079.1,HQ161947.1,
Hieracium piloselloides,HQ644046.1,,,DQ460864.1
Hieracium scabrum,KM212131.1,KM212080.1,HQ131825.1,DQ460872.1
Hieracium umbellatum,JQ933362.1,AJ633195.1,KM372116.1,KF196063.1
Hieracium vulgatum,,,,
Hierochloe odorata,JX848487.1,EF137503.1,KF713240.1,EF137605.1
Hippuris vulgaris,KM360818.1,JN895316.1,AY492098.1,AY492178.1
Holcus lanatus,AJ746279.1,,HQ600530.1,
Holosteum umbellatum,,FJ404839.1,JN589051.1,FJ404987.1
Hordeum brachyantherum,AY137451.1,KM040722.1,AJ607850.1,KF600706.1
Hordeum jubatum,Z49841.1,KM040700.1,AJ607946.1,KP087960.1
Hordeum marinum,AY137436.1,KM040727.1,KM217269.1,KF600707.1
Hordeum pusillum,AY137452.1,KM040713.1,HQ600534.1,AB732937.1
Hordeum vulgare,LN626641.1,KM040747.1,KM217265.1,KF600708.1
Hosta lancifolia,,,,
Houstonia caerulea,AJ288604.1,,AM939464.1,EU543109.1
Houstonia longifolia,,,DQ012801.1,EU642536.1
Hudsonia tomentosa,FJ492019.1,,,FJ491991.1
Humulus japonicus,KC539684.1,KC539615.1,KC539581.1,JN040377.1
Humulus lupulus,AF206777.1,AY257528.1,EF136401.1,AF501599.1
Huperzia lucidula,HQ590135.1,,KF977440.1,
Huperzia porophila,,,,
Hybanthus concolor,KC699582.1,GQ262548.1,,GQ262538.1
Hydrangea arborescens,AF323186.1,GU217285.1,DQ006012.1,JF321184.1
Hydrastis canadensis,L75849.2,AB069849.1,,EF437112.1
Hydrocotyle ranunculoides,KJ773565.1,KJ772839.1,,
Hydrocotyle umbellata,KJ773566.1,KJ772840.1,,
Hydrophyllum appendiculatum,,,,
Hydrophyllum canadense,KF158109.1,EU599649.1,,KC542481.1
Hydrophyllum virginianum,L01927.2,,,
Hylotelephium telephium,HQ590138.1,AF115669.1,AB088561.1,AB480654.1
Hylotelephium x,,,,
Hymenopappus scabiosaeus,KJ773568.1,,,
Hyoscyamus niger,JN892730.1,EF438829.1,KM051464.1,
Hypericum adpressum,,,AY555865.2,
Hypericum ascyron,JF941966.1,JF954074.1,JN984874.1,KC709021.1
Hypericum boreale,,,AY573026.1,KC709074.1
Hypericum canadense,,,KC709434.1,
Hypericum fraseri,JX664051.1,,HE653668.1,KC709146.1
Hypericum gentianoides,KJ773572.1,,KC709408.1,KC709110.1
Hypericum gymnanthum,HM850062.1,,,
Hypericum kalmianum,JX664052.1,JX661946.1,FJ694209.1,
Hypericum majus,,,KC709350.1,KC709049.1
Hypericum mutilum,HM850065.1,HQ331629.1,DQ006013.1,KC709093.1
Hypericum perforatum,AF206779.1,JX661947.1,KJ436385.1,KC709105.1
Hypericum prolificum,,,FJ694217.1,KC709108.1
Hypericum punctatum,HQ590140.1,,HE653602.1,
Hypericum sphaerocarpum,,,AY555878.2,
Hypericum virginicum,AF518399.1,,HE653667.1,
Hypochaeris radicata,KM360829.1,AJ633231.1,AF528460.1,AF528380.1
Hypoxis hirsuta,,,,HM459538.1
Ilex verticillata,AJ492717.1,,AJ492681.1,AJ492594.1
Iliamna remota,,,AF271195.1,
Impatiens balsamina,GQ436373.1,,KF804100.1,EF649982.1
Impatiens capensis,Z83142.1,AJ429280.1,AY712664.1,AF396206.1
Impatiens pallida,KM212138.1,KM212085.1,,
Inula helenium,HQ590141.1,AF151473.1,FN870378.1,FM997850.1
Iodanthus pinnatifidus,,,GQ424539.1,
Ionactis linariifolius,,,,
Ipomoea coccinea,L14400.1,,AF110941.1,AY101064.1
Ipomoea hederacea,KJ773592.1,KJ772857.1,HQ288850.1,EU401729.1
Ipomoea lacunosa,DQ006085.1,,DQ005997.1,
Ipomoea pandurata,KJ773596.1,KJ772864.1,AF110930.1,
Ipomoea purpurea,X60663.1,GU266612.1,EU330324.1,
Ipomopsis rubra,KJ773597.1,EU628523.1,EU339801.1,EU348451.1
Iris flavescens,,,,
Iris pseudacorus,JF972900.1,KC118960.1,DQ277646.1,
Iris pumila,,HM574637.1,,
Iris sibirica,KP089584.1,AY596642.1,,EU939499.1
Iris virginica,HQ182432.1,KC118951.1,KC118907.1,EU939520.1
Iris x,,,,
Isanthus brachiatus,,,EF508065.1,
Isatis tinctoria,JN847841.1,AB354278.1,KF022713.1,DQ518370.1
Isoetes butleri,,,DQ479974.1,
Isoetes melanopoda,L11054.1,,DQ284996.1,
Isolepis cernua,Y13014.1,JN895309.1,DQ385576.1,AF285070.1
Isotria medeoloides,AY381123.1,,,
Isotria verticillata,EU498135.1,,EU498160.1,EU498226.1
Iva annua,KF724259.1,,,
Jacquemontia tamnifolia,AY101037.1,EU330286.1,DQ219865.2,AY101146.1
Jeffersonia diphylla,L75867.2,,L75873.1,FJ626557.1
Juglans cinerea,KF418919.1,,AF303813.1,AF303786.1
Juglans nigra,AF206785.1,AF118036.1,AF338492.1,AF303783.1
Juncus acuminatus,KJ773602.1,,,
Juncus alpinoarticulatus,KF997465.1,,AY727822.1,AY437960.1
Juncus anthelatus,,,,
Juncus articulatus,KM360834.1,KP083050.1,AY727819.1,AY437961.1
Juncus balticus,KF997299.1,,AY727805.1,AY437973.1
Juncus brachycarpus,,,,
Juncus brachycephalus,,,AY727824.1,
Juncus bufonius,HM850085.1,JN894885.1,AY727789.1,AY437965.1
Juncus canadensis,KF724343.1,,AY727814.1,
Juncus compressus,AY216625.1,AY973525.1,AY973507.1,AY437968.1
Juncus diffusissimus,KJ773603.1,,AY727826.1,
Juncus dudleyi,HQ590144.1,,AY727801.1,
Juncus effusus,L12681.1,HQ180871.1,FJ980286.1,AY437976.1
Juncus gerardii,AY216613.1,JN894675.1,,AY437969.1
Juncus greenei,,,,
Juncus interior,,,AY727798.1,
Juncus marginatus,,KJ772871.1,,
Juncus militaris,,,,
Juncus nodatus,,,,
Juncus nodosus,,,AY727817.1,
Juncus pelocarpus,,,AY727811.1,
Juncus scirpoides,,,AY727821.1,
Juncus tenuis,HM850091.1,,JQ811752.1,
Juncus torreyi,HQ590148.1,,,
Juncus vaseyi,,,,
Juniperus communis,JQ512555.1,,AY283435.1,HM024559.1
Juniperus horizontalis,HM024310.1,HM024032.1,,HM024572.1
Juniperus virginiana,AF119182.1,HM024065.1,KJ562290.1,HM024605.1
Justicia americana,L14401.1,HQ384510.1,DQ005959.1,HQ412935.1
Kallstroemia parviflora,,,AY260973.1,
Kalmia angustifolia,AF419826.1,U61348.2,HM182015.1,AB247964.1
Kickxia elatine,HM850096.1,,AY492108.1,AY492180.1
Kochia scoparia,AY489264.1,FR775278.1,FJ599757.1,HE577477.1
Koeleria macrantha,JX848501.1,LN554439.1,HG797526.1,DQ336846.1
Krigia biflora,KF613086.1,,L13948.1,
Krigia virginica,KJ773608.1,KJ772878.1,L20479.1,
Kummerowia stipulacea,U74229.1,EU717417.1,JN402493.1,EU717299.1
Kummerowia striata,KJ773609.1,GU572327.1,JN402494.1,EU717300.1
Lactuca biennis,KJ593492.1,KJ593002.1,KP828828.1,
Lactuca canadensis,GU817771.1,EU749319.1,GU818575.1,GU818025.1
Lactuca floridana,KJ773612.1,KJ772883.1,KP828827.1,
Lactuca hirsuta,,,HQ172901.1,
Lactuca ludoviciana,,,,
Lactuca saligna,,AJ633238.1,AJ633336.1,
Lactuca serriola,KM360838.1,GU109315.1,AB742456.1,KF486175.1
Lamium amplexicaule,Z37399.1,JF779865.1,JX073977.1,JF779968.1
Lamium galeobdolon,Z37400.1,,KC350627.1,JF779993.1
Lamium maculatum,Z37402.1,AF531780.1,KF055056.1,JF780015.1
Lamium purpureum,Z37403.1,HQ384493.1,JX073973.1,JF780009.1
Laportea canadensis,AF500356.1,,DQ006042.1,KF971221.1
Lappula occidentalis,,,JX976790.1,KC542496.1
Lappula squarrosa,KF158086.1,JQ388535.1,JQ388506.1,AB758335.1
Lapsana communis,KM360842.1,AJ633138.1,AJ633286.1,
Larix decidua,FN689379.1,AF492491.1,,KJ415079.1
Larix laricina,AF479878.1,AF295029.1,,KJ415088.1
Lathyrus japonicus,HM850107.1,JX505800.1,AY839361.1,JX505669.1
Lathyrus latifolius,HE963531.1,,KP338193.1,KP338311.1
Lathyrus ochroleucus,JX848462.1,JX505806.1,JX506110.1,
Lathyrus palustris,JN891868.1,HM026396.1,AY839381.1,AY839448.1
Lathyrus tuberosus,Z70172.1,AB935083.1,AY839401.1,AY839468.1
Lathyrus venosus,JX505484.1,JX505823.1,JX506154.1,JX505705.1
Lechea intermedia,KF724288.1,,,
Lechea minor,KJ773617.1,,,
Lechea mucronata,KJ773618.1,,,
Lechea pulchella,KJ773619.1,,,
Lechea racemulosa,,,,
Lechea stricta,,,,
Lechea tenuifolia,,,,
Leersia lenticularis,,,,
Leersia oryzoides,FN870396.1,FN908060.1,AF169236.1,
Leersia virginica,HQ590154.1,HQ593339.1,,
Lemna aequinoctialis,AY034228.1,KF726300.1,,
Lemna gibba,AY034235.1,AY034197.1,,AY290848.1
Lemna minor,AY034234.1,,KJ400887.1,AF521873.1
Lemna minuta,AY034224.1,AY034186.1,,
Lemna obscura,AY034232.1,AY034194.1,,
Lemna perpusilla,AY034229.1,AY034191.1,KJ400897.1,
Lemna trisulca,AY034237.1,AY034199.1,KJ400904.1,DQ222863.1
Lemna turionifera,AY034230.1,AY034192.1,KJ400906.1,
Lemna valdiviana,AY034225.1,AY034187.1,KJ400908.1,
Lens culinaris,JN661189.1,JX505825.1,KJ787202.1,AB546804.1
Leontodon saxatilis,HM850115.1,AJ633223.1,AF528489.1,AF528394.1
Leonurus cardiaca,KM360848.1,JX520943.1,KF986733.1,
Leonurus sibiricus,HQ839683.1,EF395814.1,EF395805.1,EF546852.1
Lepidium campestre,HQ590157.1,,AF055197.1,AY015906.1
Lepidium densiflorum,JX848442.1,,,
Lepidium didymum,JN847819.1,JF926656.1,,DQ821407.1
Lepidium draba,HM850118.1,HM850735.1,EF367913.1,DQ821408.1
Lepidium latifolium,JN891801.1,JN894164.1,,DQ821404.1
Lepidium perfoliatum,JN847820.1,DQ406766.1,EF368007.1,EF367815.1
Lepidium ruderale,JF942219.1,JN894791.1,KJ623527.1,KJ623452.1
Lepidium sativum,KF613075.1,,X78126.1,AY015912.1
Lepidium virginicum,HM850120.1,HM850737.1,AF128109.1,DQ821405.1
Leptochloa acuminata,,,,
Leptoloma cognatum,,,,
Lespedeza capitata,KJ773621.1,GU572331.1,JN402409.1,JN402781.1
Lespedeza cuneata,U74215.1,EU717416.1,KP092727.1,JN402793.1
Lespedeza hirta,KJ773622.1,GU572341.1,JN402449.1,JN402821.1
Lespedeza intermedia,EU717278.1,EU717419.1,JN402454.1,EU717304.1
Lespedeza leptostachya,,GU572347.1,GU572188.1,FJ409473.1
Lespedeza thunbergii,KP094973.1,GU572358.1,KP092730.1,EU717307.1
Lespedeza violacea,,GU572361.1,JN402479.1,JN402851.1
Lespedeza virginica,KJ773624.1,GU572360.1,JN402483.1,JN402855.1
Leucanthemum vulgare,KM360850.1,,EF577315.1,KM385493.1
Leucojum aestivum,KM360851.1,FN663901.1,AY101281.1,FN663926.1
Leucospora multifida,,,,
Leymus arenarius,GU140017.1,JN894789.1,JQ360086.1,EF581906.1
Liatris aspera,,,HQ416346.1,
Liatris cylindracea,AY816235.1,,AY804146.1,
Liatris punctata,,,HQ416377.1,
Liatris pycnostachya,,,HQ416378.1,
Liatris scariosa,,,HQ416379.1,
Liatris spicata,HQ416177.1,HQ416287.1,HQ416383.1,
Ligustrum obtusifolium,JF830472.1,,JF830399.1,JN102159.1
Ligustrum vulgare,HQ384901.1,,EU314901.1,AF380876.1
Lilium lancifolium,AB034937.1,JF972949.1,HQ724825.1,EU597206.1
Lilium michiganense,,,AF090966.1,
Lilium philadelphicum,JX848475.1,,AF090953.1,
Linaria genistifolia,,,AY878115.1,KF918741.1
Linaria vulgaris,KM360853.1,JF694194.1,KJ747021.1,AY492181.1
Lindera benzoin,AY337732.1,AJ247169.2,FM957809.1,EF491248.1
Lindernia dubia,KJ773633.1,FR728411.1,,JQ669047.1
Linnaea borealis,KM360854.1,,KP297498.1,AF366912.1
Linum intercursum,,,,
Linum medium,KJ773635.1,KJ772898.1,,
Linum perenne,FJ169582.1,AB038182.1,FJ169524.1,FJ160886.1
Linum striatum,FJ169589.1,FJ160825.1,FJ169554.1,FJ160870.1
Linum sulcatum,FJ169592.1,,,
Linum usitatissimum,FJ169596.1,JX661951.1,JN115032.1,FJ160887.1
Linum virginianum,,,,
Liparis lilifolia,AF518046.1,AF263667.1,AB289475.1,EU017494.1
Liparis loeselii,KM360856.1,HG970139.1,EF079387.1,
Lipocarpha drummondii,,,,
Lipocarpha micrantha,KJ773636.1,KJ772899.1,KF150595.1,
Liquidambar styraciflua,M58394.1,AB445367.1,AF055886.1,DQ352219.1
Liriodendron tulipifera,X54346.1,AF123480.1,DQ499099.1,AY145356.1
Lithospermum canescens,,FJ827261.1,FJ763230.1,FJ763287.1
Lithospermum croceum,,,,
Lithospermum incisum,EU599857.1,EU599681.1,FJ763226.1,FJ763283.1
Lithospermum latifolium,,JF488866.1,FJ763227.1,FJ763284.1
Lithospermum offlcinale,,,,
Lobelia cardinalis,AF042659.1,EU713263.1,AY350630.1,DQ356231.1
Lobelia inflata,HQ590162.1,KM212087.1,,
Lobelia kalmii,DQ356166.1,,,EF126736.1
Lobelia siphilitica,DQ006102.1,,DQ006015.1,
Lobelia spicata,KF724236.1,,,
Lobularia maritima,KM360861.1,JF926639.1,AY254530.1,KF022852.1
Lolium perenne,KM360863.1,EU434291.1,KJ598999.1,EU119376.1
Lolium temulentum,KJ599185.1,HM453063.1,KJ598964.1,EF378988.1
Lonicera canadensis,HQ590165.1,HQ593349.1,,
Lonicera dioica,,GU168649.1,GU269247.1,
Lonicera hirsuta,HQ590166.1,,FJ217821.1,
Lonicera japonica,KP088664.1,HM228456.1,KM258479.1,HM228586.1
Lonicera maackii,KP088665.1,FJ745394.1,JQ731713.1,GU168708.1
Lonicera morrowii,KJ841385.1,KJ840933.1,EU240697.1,AB969752.1
Lonicera oblongifolia,,,FJ217823.1,
Lonicera reticulata,AJ420870.1,,,
Lonicera ruprechtiana,,,FJ217828.1,
Lonicera sempervirens,KJ773641.1,GQ284976.1,AF265280.1,GQ305434.1
Lonicera subsessilis,,,FJ217876.1,AB969753.1
Lonicera tatarica,KP088670.1,HQ593351.1,EU240710.1,GU076484.1
Lonicera x,,,,
Lonicera xylosteum,KF997358.1,,EU240723.1,KC429715.1
Lotus corniculatus,U74213.1,JN894450.1,DQ312207.1,
Lotus unifoliolatus,,,DQ311969.1,
Ludwigia alternifolia,KJ773642.1,KJ772906.1,,
Ludwigia palustris,KC996782.1,,FN263234.1,
Ludwigia peploides,L10222.1,KC996805.1,AY271517.1,AY264494.1
Ludwigia polycarpa,,,HE585706.1,
Ludwigia sphaerocarpa,,,HE585710.1,
Lunaria annua,HE963547.1,GQ424592.1,KF022719.1,
Lupinus perennis,Z70058.1,,,
Lupinus polyphyllus,Z70052.1,,AY949020.1,
Luzula acuminata,AY216656.1,KJ593013.1,FJ213907.1,AY437947.1
Luzula luzuloides,,,FJ213848.1,AY850166.1
Luzula multiflora,AJ419945.1,JN895525.1,FJ873793.1,AY344158.1
Lycium barbarum,KP088673.1,,JQ320165.1,DQ124566.1
Lycium chinense,KM360867.1,,JQ320164.1,DQ124576.1
Lycopersicon esculentum,KC436105.1,EF439076.1,KC213748.1,HM006841.1
Lycopodiella inundata,Y07938.1,,,
Lycopodium clavatum,Y07936.1,,,KF977454.1
Lycopus americanus,HQ590170.1,,,
Lycopus amplectens,,,,
Lycopus asper,,,,
Lycopus europaeus,HM850150.1,AY840154.1,,GU381478.1
Lycopus rubellus,KJ773662.1,KJ772924.1,,
Lycopus uniflorus,KJ841399.1,,DQ667302.1,DQ667488.1
Lycopus virginicus,KJ773663.1,KJ772923.1,,
Lysimachia ciliata,DQ006120.1,HQ593353.1,DQ006032.1,AY855121.1
Lysimachia clethroides,JF942362.1,JF954448.1,JF976899.1,AF396220.1
Lysimachia hybrida,,,,
Lysimachia lanceolata,,,,
Lysimachia nummularia,KM360869.1,,FJ529522.1,
Lysimachia punctata,KF997269.1,,AF547718.1,
Lysimachia quadriflora,,,,
Lysimachia quadrifolia,,,AF547734.1,
Lysimachia terrestris,KJ841402.1,,,
Lysimachia thyrsiflora,,,AF547725.1,
Lysimachia vulgaris,AF421095.1,JN895201.1,AF547736.1,
Lysimachia x,,,,
Lythrum alatum,KJ773667.1,KJ772928.1,,
Lythrum salicaria,KM360870.1,HQ593354.1,AF334772.1,
Macleaya cordata,U86629.1,,AY328307.1,AY328253.1
Maclura pomifera,KP088674.1,KP089143.1,FJ916993.1,FJ917058.1
Madia sativa,AY215141.1,,AF229319.1,AY216201.1
Magnolia stellata,AF238057.1,,,
Mahonia repens,,,KC575632.1,
Maianthemum canadense,HQ590172.1,,EU850029.1,EU850199.1
Maianthemum racemosum,AY149376.1,EU850269.1,JF977038.1,EU850201.1
Maianthemum stellatum,JQ273928.1,EU850270.1,EU850032.1,EU850202.1
Maianthemum trifolium,KC251461.1,EF133711.1,,
Malaxis monophyllos,KF852724.1,AY907175.1,AY907108.1,
Malaxis unifolia,,,,
Malcolmia africana,JN847814.1,JF926644.1,KJ623498.1,EU170625.1
Malus baccata,JQ391376.1,JQ391017.1,EF525564.1,JQ392286.1
Malus coronaria,JQ391359.1,,JQ392449.1,JQ392310.1
Malus ioensis,JQ391348.1,,JQ392448.1,JQ392311.1
