taxon,rbcL,matK,ITS,trnL-trnF
Amelanchier canadensis,JQ391257.1,JQ390937.1,JQ392363.1,JQ392194.1
Amelanchier humilis,,,U83937.1,
Amelanchier interior,JQ391249.1,,,JQ392188.1
Amelanchier laevis,JQ391259.1,JQ390945.1,JQ392366.1,JQ392196.1
Amelanchier sanguinea,JQ391245.1,KJ840854.1,JQ392360.1,JQ392197.1
Ammannia robusta,KF724282.1,,,
Ammophila breviligulata,AJ784835.1,EF137482.1,,
Amorpha canescens,,,AY426773.1,
Amorpha fruticosa,U74212.1,AF270861.1,AY426774.1,
Ampelamus albidus,DQ006054.1,,DQ005968.1,AJ428653.1
Ampelopsis brevipedunculata,AJ419722.1,,,AB234992.1
Amphiachyris dracunculoides,,,AF477627.1,
Amphicarpaea bracteata,EU717257.1,EU717399.1,AF417015.1,EU717317.1
Amsinckia menziesii,KF997304.1,,JQ513392.1,
Amsinckia spectabilis,,,JQ513393.1,JQ582295.1
Anagallis arvensis,M88343.1,JN893965.1,AF547709.1,EF437056.1
Anaphalis margaritacea,HQ589951.1,,FN645827.1,FN645762.1
Anchusa offlcinalis,,,,
Andromeda polifolia,AF124572.1,,AF358872.1,
Andropogon gerardii,AJ784818.1,AF144577.1,DQ005015.1,
Andropogon hallii,,,,
Andropogon virginicus,KJ773269.1,,,
Androsace occidentalis,,,EU655563.1,EU655584.1
Anemone canadensis,EU053902.1,,AY055387.1,
Anemone caroliniana,,,AY055403.1,
Anemone cylindrica,JX848515.1,,JF422889.1,
Anemone patens,JX848516.1,KC475640.1,AM267280.1,
Anemone quinquefolia,KF977467.1,GU257980.1,GU257978.1,KF977444.1
Anemone virginiana,HQ589955.1,HQ593171.1,FJ639898.1,
Anethum graveolens,EU016783.1,EU016725.1,AY548225.1,
Angelica atropurpurea,KF613025.1,,,
Anoda cristata,,,,
Antennaria neglecta,JX848401.1,HQ593172.1,,
Antennaria plantaginifolia,,,JX524602.1,
Anthemis arvensis,HM849778.1,HM850610.1,EU179214.1,
Anthemis cotula,HM849779.1,,EU179216.1,
Anthoxanthum odoratum,AJ746256.1,AM234541.1,KC897918.1,EF137590.1
Anthriscus caucalis,JN893703.1,JN895073.1,,
Anthriscus cerefolium,,,DQ379384.1,AF432022.1
Anthriscus sylvestris,KM360636.1,U58547.1,AY548228.1,
Anthyllis vulneraria,KM360637.1,AF543845.1,HM468330.1,
Anticlea elegans,JN417468.1,JN417378.1,AF303725.1,AF303694.1
Antirrhinum majus,GQ997015.1,KJ911399.1,AY591288.1,AJ492270.1
Antirrhinum orontium,HM850180.1,EU718055.1,AF513889.1,AY316708.1
Apera interrupta,EF125147.1,EF137485.1,DQ539570.1,EU792439.1
Apios americana,EU717285.1,EU717426.1,KF272978.1,EF543425.1
Aplectrum hyemale,AF074108.1,EF525693.1,AY008468.1,EU266434.1
Apocynum androsaemifolium,HQ589956.1,EF456263.2,,EF456130.1
Apocynum cannabinum,HQ384907.1,,DQ005966.1,HQ412961.1
Apocynum x,,,,
Aquilegia canadensis,AY392755.1,EU827653.1,U75656.1,
Aquilegia vulgaris,EU053905.1,EU827667.1,EU747245.1,
Arabidopsis lyrata,AY174652.1,XM_002886827.1,GQ922910.1,LN610043.1
Arabidopsis thaliana,KM025242.1,,LN610094.1,LN610049.1
Arabis pycnocarpa,,,KF547179.1,
Arachis hypogaea,KM025244.1,EU307349.1,FJ212319.1,EU735856.1
Aralia chinensis,KP088475.1,HQ427393.1,U63181.1,AY393704.1
Aralia elata,KF412439.1,KF412425.1,JF980303.1,GU055160.1
Aralia hispida,KF724255.1,,,
Aralia nudicaulis,HQ589959.1,,U41674.1,AF382157.1
Aralia racemosa,HQ589960.1,HQ593177.1,U41675.1,GU055090.1
Arctium lappa,KC589792.1,,GU724291.1,AB551238.1
Arctium minus,KC589794.1,AY013521.1,KC603906.1,AY772274.1
Arctium tomentosum,,JQ354896.1,GQ281035.1,
Arctostaphylos uva-ursi,GU176649.1,AF440411.1,AF091950.1,FJ357293.1
Arenaria serpyllifolia,KM360648.1,KJ204441.1,AY438320.1,
Arethusa bulbosa,AF074109.1,AF263624.1,AF273338.1,AF519912.1
Argemone albiflora,JX087687.1,JX087885.1,JX078976.1,
Argemone mexicana,U86621.1,LN614543.1,AY328303.1,AY328248.1
Argentina anserina,JX848521.1,AF288113.1,FN430824.1,AF348556.1
Arisaema dracontium,KC466585.1,KC466573.1,,AB982358.1
Arisaema triphyllum,AY298817.1,,KF977433.1,KF977445.1
Aristida basiramea,,,,
Aristida dichotoma,,,DQ171991.1,DQ172216.1
Aristida intermedia,,,,
Aristida longespica,HQ713378.1,HM352806.1,DQ172013.1,DQ172239.1
Aristida oligantha,HE573350.1,HE573945.1,DQ172020.1,DQ172246.1
Aristida purpurascens,HQ713380.1,HM352807.1,DQ172028.1,DQ172253.1
Aristida tuberculosa,,,DQ172062.1,DQ172286.1
Armoracia rusticana,KM360651.1,FN597648.1,,EF426785.1
Arnoglossum atriplicifolium,GU817738.1,EF537911.1,EF538154.1,
Arnoglossum plantagineum,,,EF538155.1,
Arnoglossum reniforme,,,,
Aronia prunifolia,JQ391241.1,JQ390930.1,JQ392370.1,JQ392187.1
Arrhenatherum elatius,AJ784823.1,,AJ632187.1,JF904748.1
Artemisia abrotanum,,,EF577288.1,JX073778.1
Artemisia absinthium,HE963336.1,,EF577289.1,JX073827.1
Artemisia annua,KJ667633.1,JQ173387.1,AY548199.1,KF736814.1
Artemisia biennis,,,KC493084.1,
Artemisia carruthii,,,JX051722.1,JX073800.1
Artemisia caudata,,,JF326536.1,
