TRANSECT STRING,
>,
    QUAD,4
ACRONYM,COVER
ACARHO,1
ALLCAN,4
ARITRI,1
CINARU,5
CIRLUC,2
ELYVIL,5
EUPPUR,5
GEUCAN,10
LEEVIR,5
PENDIG,10
RANSEP,10
RHACAT,8
SILSTE,8
SOLALT,10
SOLULM,5
ZIZAUR,40
>,
    QUAD,5
ACRONYM,COVER
ALLCAN,20
ARITRI,1
BIDFRO,15
CHEHYG,1
CRYCAN,15
GEUCAN,8
LEEVIR,10
PENDIG,5
RANSEP,10
SILSTE,15
ZIZAUR,60
>,
    QUAD,6
ACRONYM,COVER
AMPBRB,10
CHEHYG,10
CINARU,3
CRYCAN,8
EUPPUR,2
HELHIR,1
IMPCAP,1
LEEVIR,10
PENDIG,30
POLGVI,3
POTSIS,5
RANSEP,12
RHURAD,1
RUBIDS,5
SCRMAR,5
SOLALT,8
THADIO,1
ZIZAUR,40
>,
    QUAD,7
ACRONYM,COVER
ALLPET,5
ASTLAT,5
BIDFRO,5
EREHIE,15
GERMAC,5
GEUCAN,20
IMPCAP,2
LEEVIR,85
OXAEUR,10
POLGVI,10
POTSIS,1
RANREC,1
RANSEP,10
SCRMAR,10
SOLULM,15
VIOSOR,1
VITRIP,1
>,
    QUAD,8
ACRONYM,COVER
ALLTRT,1
ARITRI,2
CINARU,1
CXBLAN,8
EREHIE,1
EUPPUR,3
FRAPES,1
FRAVIR,2
GERMAC,4
GEUCAN,5
HACVIR,2
HELHIR,8
IMPCAP,2
OXAEUR,25
POTSIS,5
RHACAT,2
SCRMAR,5
SMIECI,2
SMISTE,1
SOLULM,40
THADIO,1
ZIZAUR,4
>,
    QUAD,9
ACRONYM,COVER
ALLCAN,10
ALLPET,3
AMPBRB,2
ARIDRA,2
ARITRI,3
ASTSHO,2
CHEHYG,1
CXGRAY,5
GERMAC,2
LEEVIR,5
OXAEUR,10
POLGVI,1
RANSEP,5
RHACAT,2
RIBAME,1
SCRMAR,5
SMIECI,1
SMISTE,1
SOLCAE,2
VIOPUB,2
>,
    QUAD,10
ACRONYM,COVER
ALLCAN,1
ARITRI,2
BIDFRO,3
CIRLUC,5
GERMAC,4
GEUCAN,15
HELMAX,2
IMPCAP,2
