TRANSECT STRING,
>,
    QUAD,4
ACRONYM,COVER
ALLCER,2
ASTLAT,15
BROPUB,2
ELYVIR,2
EUPPUR,15
GEUCAN,5
HACVIR,1
HELHIR,20
LEEVIR,5
PENDIG,2
RANSEP,1
RHACAT,4
RHURAD,1
SILSTE,2
SOLALT,35
SOLULM,10
ZIZAUR,8
>,
    QUAD,5
ACRONYM,COVER
ALLCAN,3
ASTLAT,20
BIDFRO,5
CRYCAN,5
HELHIR,3
PENDIG,3
POLGVI,3
RANSEP,60
RHURAD,5
SILSTE,5
SOLALT,15
ZIZAUR,25
>,
    QUAD,6
ACRONYM,COVER
ASTLAT,20
ASTSAD,3
ASTSHO,5
CXBLAN,2
EUPPUR,5
HELHIR,5
IMPCAP,1
POLGVI,10
RANSEP,45
RUBIDS,20
SMIECI,1
SOLALT,40
ZIZAUR,3
>,
    QUAD,7
ACRONYM,COVER
ASTLAT,15
FRAVIR,1
HELHIR,10
IMPCAP,10
LEEVIR,2
POLGVI,80
RANSEP,25
RHACAT,60
SMIECI,2
VIOSOR,1
ZIZAUR,15
>,
    QUAD,8
ACRONYM,COVER
FRAVIR,1
GERMAC,5
HELHIR,30
LEEVIR,1
POTSIS,5
RHACAT,70
RUBOCC,25
SMIECI,2
SOLULM,20
>,
    QUAD,9
ACRONYM,COVER
AMPBRB,20
ARITRI,2
ASTLAT,10
ASTSHO,3
CXBLAN,2
EUPPUR,3
IMPCAP,15
RANSEP,10
RHACAT,10
RHAFRA,5
RUBOCC,30
SOLALT,5
SOLCAE,6
SOLULM,30
ZIZAUR,5
>,
    QUAD,10
ACRONYM,COVER
ASTMAC,2
FRAVIR,1
GEUCAN,2
IMPCAP,2
POLGVI,50
QUEMAC,2
RHACAT,40
RUBFLA,5
SOLALT,30
SOLFLE,8
VITRIP,1
>,
    QUAD,11
ACRONYM,COVER
ASTLAT,15
CAROVT,2
CIRLUC,2
CORRAC,20
FRAVIR,1
GEUCAN,5
HELHIR,30
IMPCAP,1
MALSIE,2
POLGVI,5
RHACAT,20
RHAFRA,5
RUBIDS,5
SOLALT,25
SPHINT,1
VIOSOR,1
>,
    QUAD,12
ACRONYM,COVER
ANDGER,5
ARITRI,2
