TRANSECT STRING,
>,
    QUAD,4
ACRONYM,COVER
ASTLAT,5
BROLAT,5
HELSTR,5
LEEVIR,10
PENDIG,3
POLGVI,2
POTSIS,2
RANSEP,20
RHACAT,2
SILSTE,10
SOLULM,5
ZIZAUR,90
>,
    QUAD,5
ACRONYM,COVER
ALLCAN,20
CAMSCI,15
CXBLAN,2
HELSTR,8
LEEVIR,50
POLGVI,5
POTSIS,8
RANSEP,20
SILSTE,5
ZIZAUR,50
>,
    QUAD,6
ACRONYM,COVER
AMPBRB,5
ASTLAT,10
CAROVT,7
CIRLUC,5
EUPPUR,15
HELSTR,25
PENDIG,5
POTSIS,5
RANSEP,20
RHURAD,10
RUDSUB,15
SOLALT,20
THAREV,50
ZIZAUR,20
>,
    QUAD,7
ACRONYM,COVER
AMPBRB,3
ASTLAT,60
GERMAC,15
IMPCAP,40
LEEVIR,5
POLGVI,25
POTSIS,3
RANSEP,25
RHACAT,20
SOLALT,25
SOLULM,25
VIOSOR,3
>,
    QUAD,8
ACRONYM,COVER
ARITRI,2
CAMSCI,2
CINARU,2
CXALBU,2
ELYVIR,2
EUPPUR,40
GERMAC,5
HELSTR,60
MONFIS,10
POLGVI,5
POTSIS,1
SMILAS,5
SMISTE,3
SOLALT,5
SOLFLE,2
SOLULM,30
THADIO,20
VERURU,8
>,
    QUAD,9
ACRONYM,COVER
ALLCAN,8
ALLPET,1
AMPBRB,10
ARIDRA,8
ARITRI,5
CIRALT,5
CRYCAN,20
EUPPUR,10
HELSTR,30
LEEVIR,15
LITLAT,5
OXAEUR,1
PILPUM,1
RANSEP,20
SMILAS,5
SMISTE,10
SOLULM,25
VIOSOR,5
ZIZAUR,15
>,
    QUAD,10
ACRONYM,COVER
ALLCAN,2
ARITRI,3
BIDFRO,25
CHESTA,3
CINARU,10
CIRLUC,5
EUPRUG,40
GALAPA,5
GERMAC,3
GEUCAN,15
POLGVI,5
SILSTE,5
SMISTE,2
SOLALT,30
VIOSOR,3
ZIZAUR,5
>,
    QUAD,11
ACRONYM,COVER
ARITRI,5
ASTLAT,5
BROPUB,5
CIRARV,2
HELSTR,5
HYSPAT,4
IMPCAP,5
LEEVIR,6
POLGVI,10
POTSIS,5
