TRANSECT STRING,
>,
    QUAD,4
ACRONYM,COVER
ARITRI,5
BROPUB,2
CXBLAN,3
ELYVIL,3
HELSTR,25
IMPCAP,5
IODPIN,3
OXYRIG,5
RANSEP,15
SILSTE,10
SMILAS,15
SOLALT,15
ZIZAUR,95
>,
    QUAD,5
ACRONYM,COVER
ALLCAN,2
AMPBRB,20
BROLAT,2
CAMSCI,5
CXBLAN,2
CRYCAN,2
HELDIV,25
HELSTR,20
HYSPAT,1
LEEVIR,25
PENDIG,1
RANSEP,8
SILSTE,15
SMILAS,20
SOLALT,10
ZIZAUR,80
>,
    QUAD,6
ACRONYM,COVER
AMPBRB,25
BROLAT,15
CINARU,5
CRYCAN,5
EUPPUR,25
HELSTR,30
HYDVIR,5
RUDSUB,20
SOLALT,20
THAREV,30
ZIZAUR,25
>,
    QUAD,7
CINARU,5
FLOPRO,2
FRAVIR,5
GERMAC,20
HELSTR,60
HYSPAT,1
IMPCAP,5
LEEVIR,13
RANSEP,15
SOLALT,10
THADIO,1
ZIZAUR,5
>,
    QUAD,8
ARITRI,5
CAMSCI,5
EUPPUR,20
GERMAC,10
HELSTR,80
SMIRAC,10
SMIECI,10
SOLULM,5
THADIO,10
TRIREC,15
TRIPER,5
>,
    QUAD,9
ALLCAN,13
AMPBRB,40
ARIDRA,10
ARITRI,5
CXROSE,3
EUPRUG,3
HELSTR,25
LEEVIR,3
LITLAT,20
PENDIG,5
POLCAL,10
RANSEP,10
SILSTE,2
SMIECI,5
SOLALT,5
SOLCAE,3
SOLULM,30
VIOSOR,8
ZIZAUR,15
>,
    QUAD,10
ALITRI,8
ALLCAN,5
ASTLAT,5
BROLAT,5
EUPRUG,3
FLOPRO,13
GALAPA,8
GALTRF,8
GERMAC,5
GEUCAN,5
HELSTR,40
IMPCAP,50
PERAME,1
SILSTE,20
SMIRAC,1
SMISTE,20
SOLALT,5
TRIPER,20
ZIZAUR,15
>,
    QUAD,11
ASTLAT,2
CINARU,1
CIRLUC,8
GERMAC,2
HELDEC,15
HELSTR,30
HYSPAT,10
IMPCAP,10
LEEVIR,1
POTSIS,15
PREALB,20
SANCAD,15
SMIRAC,4
SOLULM,2
TRIPER,40
ZIZAUR,10
>,
    QUAD,12
ALLCER,2
ARITRI,10
ASTSAD,2
CXCEPP,10
CXPENS,15
GERMAC,10
HELDEC,50
HELSTR,50
RUBFLA,1
SMIECI,15
THADIO,10
>,
    QUAD,13
ALLCAN,10
ARITRI,4
CAMSCI,3
EUPPUR,10
GERMAC,5
HELDEC,5
HELSTR,90
LEEVIR,1
MALSIE,1
PREALB,2
RHACAT,1
RUDSUB,10
SMIRAC,1
SMIECI,4
SMILAS,5
THAREV,40
TRIGRA,2
>,
    QUAD,14
AMPBRB,5
ARIDRA,5
ARITRI,20
CIRLUC,5
DIOVIL,15
EUPRUG,4
HELDEC,20
HELSTR,60
LEEVIR,2
OXYRIG,3
POLCAL,2
SANCAD,15
SMIECI,10
SOLALT,5
>,
    QUAD,15
ALLCAN,5
AMPBRB,40
ARITRI,5
ASTSHO,20
CINARU,1
CIRLUC,5
EUPPUR,30
EUPRUG,3
HELSTR,10
POTREC,2
SMIECI,5
SOLULM,40
THADAD,20
ZIZAUR,15
>,
    QUAD,16
BOECYC,5
BROLAT,15
CAMSCI,20
CXDAVI,25
EUPRUG,20
GLYSTR,5
HACVIR,5
HELDEC,5
HELSTR,10
HERMAX,12
IMPCAP,2
LEEVIR,90
LESVIR,15
POLGVI,10
RUBFLA,3
SANCAD,3
SOLULM,15
TRIPER,25
UVUGRA,1
VIOSOR,8
>,
    QUAD,17
ARITRI,30
CIRLUC,2
EUPPER,90
EUPRUG,15
HELHEL,20
POLCAL,5
SMIRAC,10
SMILAS,25
SOLULM,3
TRIREC,1
>,
    QUAD,18
AMBARE,5
ARIDRA,3
ARITRI,7
ASTNOV,10
BOECYC,5
CHEGLB,2
CICMAC,2
ELYVIR,3
EUPPER,8
GLYSTR,5
HELGRO,25
LILMIC,10
LYCAME,3
MUHMEX,25
OXYRIG,15
PANVIR,2
PHLGLI,10
PYCVIR,4
RANSEP,5
ROSBLA,5
SOLALT,5
SOLGRN,10
TRAOHI,5
VERALA,5
VITRIP,10
>,
    QUAD,19
ALLCAN,5,
AMPBRB,2
EUPPUR,30
HELDEC,50
HELSTR,30
MONFIS,10
OXAEUR,1
PENDIG,15
POLCAL,10
TRAOHI,5
>,
    QUAD,20
ARIDRA,10
BRAERE,1
CXBLAN,10
CINARU,2
CIRALT,1
DENLAC,3
EUPPUR,15
FESOBT,5
OXAEUR,1
POLCAL,5
SMIILL,3
SOLULM,15
>,
    QUAD,21
ARIDRA,3
ARITRI,8
ASTSHO,15
BRAERE,5
CIRLUC,2
DENLAC,2
EUPPUR,15
SMIRAC,5
SOLCAE,25
SOLULM,30
TRIREC,2
ZIZAUR,5
>,
    QUAD,22
AQUCAN,10
ARITRI,5
CXBLAN,1
CIRLUC,2
DENLAC,1
EUPPUR,10
HELSTR,15
LITLAT,35
PLARUG,1
SANCAD,1
SMILAS,3
SOLULM,20
TAROFF,3
TRIREC,2
>,
    QUAD,23
ARITRI,15
CAMSCI,4
CXPENS,20
CORTRP,5
FRAVIR,2
HELSTR,60
PEDCAN,1
POACOM,1
POTSIS,5
RHACAT,5
RUBFLA,5
RUDSUB,10
SMIRAC,3
SMILAS,25
SOLULM,25
TAEINT,3
THAREV,10
VITRIP,5
